,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,North Chungcheong Jecheon-si,"3,827",664,689,501,"1,517",239,0,217
,North Chungcheong Boeun-gun,574,99,164,0,247,39,0,25
,North Chungcheong Okcheon-gun,"1,060",216,212,70,479,37,20,26
,North Chungcheong Yeongdong-gun,"1,054",201,551,49,189,0,39,25
,North Chungcheong Jincheon-gun,"3,973",812,699,337,"1,482",329,0,314
,North Chungcheong Goesan-gun,778,130,394,195,0,20,0,39
,North Chungcheong Eumseong-gun,"3,737",557,"1,109",194,"1,401",392,35,49
,North Chungcheong Jeungpyong-gun,"1,765",102,341,0,"1,233",40,0,49
,North Chungcheong Danyang-gun,925,267,435,223,0,0,0,0
South Chungcheong,South Chungcheong Total,"82,697","7,058","9,615","2,840","43,051","16,282",66,"3,785"
,South Chungcheong Cheonan-si,"24,880","2,158",580,487,"13,454","7,180",66,955
,South Chungcheong Gongju-si,"3,057",464,463,211,"1,504",415,0,0
,South Chungcheong Boryeong-si,"2,915",288,547,234,"1,400",316,0,130
,South Chungcheong Asan-si,"18,280","1,227","1,024",195,"10,367","4,603",0,864
,South Chungcheong Seosan-si,"7,674",379,"1,086",332,"4,448","1,048",0,381
,South Chungcheong Nonsan-si,"4,298",315,786,410,"2,020",495,0,272
,South Chungcheong Gyerong-si,"1,509",58,190,0,702,405,0,154
,South Chungcheong Geumsan-gun,"1,382",308,341,99,512,19,0,103
,South Chungcheong Buyeo-gun,"1,477",260,762,70,247,138,0,0
,South Chungcheong Seocheon-gun,"1,530",215,774,211,290,40,0,0
,South Chungcheong Cheongyang-gun,597,116,196,0,225,60,0,0
,South Chungcheong Hongseong-gun,"2,979",324,787,39,"1,242",325,0,262
,South Chungcheong Yesan-gun,"1,795",156,734,91,607,117,0,90
,South Chungcheong Taean-gun,"1,649",68,537,78,708,40,0,218
,South Chungcheong Dangjin-si,"8,675",722,808,383,"5,325","1,081",0,356
North Jeolla,North Jeolla Total,"62,327","5,215","11,253","6,611","28,203","9,399",20,"1,626"
,North Jeolla Jeonju-si,"24,670","1,108","3,508","1,174","13,201","4,800",20,859
,North Jeolla Gunsan-si,"10,737","1,166","1,741","1,084","5,076","1,441",0,229
,North Jeolla Iksan-si,"9,314",674,"1,579","1,002","4,214","1,585",0,260
,North Jeolla Jeongeup-si,"3,078",388,839,276,"1,080",456,0,39
,North Jeolla Namwon-si,"3,127",61,676,567,"1,517",306,0,0
,North Jeolla Gimje-si,"2,381",279,852,477,493,231,0,49
,North Jeolla Wanju-gun,"3,681",334,"1,020",487,"1,355",405,0,80
,North Jeolla Jinan-gun,396,139,0,257,0,0,0,0
,North Jeolla Muju-gun,593,249,39,180,125,0,0,0
,North Jeolla Jangsu-gun,519,181,318,0,0,20,0,0
,North Jeolla Imsil-gun,695,0,142,475,39,0,0,39
,North Jeolla Sunchang-gun,555,265,85,185,0,20,0,0
,North Jeolla Gochang-gun,"1,399",245,454,265,320,75,0,40
,North Jeolla Buan-gun,"1,182",126,0,182,783,60,0,31
South Jeolla,South Jeolla Total,"66,001","9,052","15,585","3,886","27,668","7,299",93,"2,418"
,South Jeolla Mokpo-si,"11,488",429,"1,898",120,"6,842","2,056",73,70
,South Jeolla Yeosu-si,"9,754","1,308","2,268",314,"4,713",664,0,487
,South Jeolla Suncheon-si,"10,559","1,225","1,037",380,"5,550","1,977",0,390
,South Jeolla Naju-si,"4,661",815,701,0,"1,910",581,0,654
,South Jeolla Gwangyang-si,"7,732","1,732",921,123,"4,119",662,0,175
,South Jeolla Damyang-gun,883,63,153,99,489,20,0,59
,South Jeolla Gokseong-gun,674,298,306,70,0,0,0,0
,South Jeolla Gurye-gun,540,224,0,244,32,40,0,0
,South Jeolla Goheung-gun,"1,444",171,647,366,240,20,0,0
,South Jeolla Boseong-gun,890,334,330,75,131,20,0,0
,South Jeolla Hwasun-gun,"2,136",176,628,66,896,370,0,0
,South Jeolla Jangheung-gun,887,354,223,230,0,60,20,0
,South Jeolla Gangjin-gun,"1,024",39,374,343,268,0,0,0
,South Jeolla Haenam-gun,"1,699",88,"1,012",117,462,20,0,0
,South Jeolla Yeongam-gun,"2,585",197,"1,120",314,650,144,0,160
