Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,South Chungcheong Cheonan-si,"25,899","1,788",685,578,"14,306","7,570",66,906
,South Chungcheong Gongju-si,"3,289",396,463,277,"1,653",500,0,0
,South Chungcheong Boryeong-si,"3,224",252,579,244,"1,692",327,0,130
,South Chungcheong Asan-si,"18,927","1,006","1,111",195,"10,820","5,011",0,784
,South Chungcheong Seosan-si,"7,714",101,"1,071",425,"4,649","1,087",0,381
,South Chungcheong Nonsan-si,"4,678",325,803,563,"2,101",629,0,257
,South Chungcheong Gyerong-si,"1,724",58,190,90,702,530,0,154
,South Chungcheong Geumsan-gun,"1,556",282,341,112,679,39,0,103
,South Chungcheong Buyeo-gun,"1,516",49,933,70,286,178,0,0
,South Chungcheong Seocheon-gun,"1,561",215,793,223,290,40,0,0
,South Chungcheong Cheongyang-gun,643,116,196,0,264,67,0,0
,South Chungcheong Hongseong-gun,"3,039",322,787,39,"1,368",325,0,198
,South Chungcheong Yesan-gun,"1,756",76,734,91,648,117,0,90
,South Chungcheong Taean-gun,"1,714",56,551,78,771,40,0,218
,South Chungcheong Dangjin-si,"8,909",600,808,383,"5,641","1,121",0,356
North Jeolla,North Jeolla Total,"66,016","4,172","11,498","6,745","31,215","10,771",20,"1,595"
,North Jeolla Jeonju-si,"26,138",627,"3,508","1,216","14,258","5,557",20,952
,North Jeolla Gunsan-si,"11,073",873,"1,764","1,084","5,478","1,756",0,118
,North Jeolla Iksan-si,"9,973",674,"1,589","1,023","4,677","1,723",0,287
,North Jeolla Jeongeup-si,"3,652",388,992,297,"1,518",418,0,39
,North Jeolla Namwon-si,"3,236",61,686,567,"1,517",405,0,0
,North Jeolla Gimje-si,"2,410",235,852,477,540,257,0,49
,North Jeolla Wanju-gun,"3,855",312,"1,059",487,"1,457",460,0,80
,North Jeolla Jinan-gun,435,139,0,257,39,0,0,0
,North Jeolla Muju-gun,631,249,49,180,153,0,0,0
,North Jeolla Jangsu-gun,519,181,318,0,0,20,0,0
,North Jeolla Imsil-gun,715,0,142,475,39,20,0,39
,North Jeolla Sunchang-gun,734,222,85,197,210,20,0,0
,North Jeolla Gochang-gun,"1,334",144,454,265,396,75,0,0
,North Jeolla Buan-gun,"1,311",67,0,220,933,60,0,31
South Jeolla,South Jeolla Total,"68,425","6,856","17,028","4,198","29,877","8,046",93,"2,327"
,South Jeolla Mokpo-si,"11,795",429,"2,022",120,"6,930","2,151",73,70
,South Jeolla Yeosu-si,"10,123","1,029","2,325",483,"5,105",704,0,477
,South Jeolla Suncheon-si,"11,048","1,176","1,060",380,"5,693","2,399",0,340
,South Jeolla Naju-si,"4,522",528,746,49,"2,000",576,0,623
,South Jeolla Gwangyang-si,"8,053","1,450","1,061",123,"4,548",696,0,175
,South Jeolla Damyang-gun,892,49,153,99,517,15,0,59
,South Jeolla Gokseong-gun,728,129,529,70,0,0,0,0
,South Jeolla Gurye-gun,599,129,0,244,167,59,0,0
,South Jeolla Goheung-gun,"1,541",46,647,398,430,20,0,0
,South Jeolla Boseong-gun,923,334,363,75,131,20,0,0
,South Jeolla Hwasun-gun,"2,301",40,628,66,"1,086",481,0,0
,South Jeolla Jangheung-gun,887,259,318,230,0,60,20,0
,South Jeolla Gangjin-gun,"1,085",0,451,364,270,0,0,0
,South Jeolla Haenam-gun,"1,803",88,"1,012",117,566,20,0,0
,South Jeolla Yeongam-gun,"2,573",74,"1,215",314,650,160,0,160
,South Jeolla Muan-gun,"2,837",228,701,222,"1,057",466,0,163
,South Jeolla Hampyeong-gun,943,65,797,41,21,19,0,0
,South Jeolla Yeongwang-gun,"1,859",40,"1,122",294,223,60,0,120
,South Jeolla Jangseong-gun,"1,038",223,456,79,100,40,0,140
,South Jeolla Wando-gun,"1,282",242,425,277,278,60,0,0
,South Jeolla Jindo-gun,777,94,385,153,105,40,0,0
,South Jeolla Sinan-gun,816,204,612,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,"89,483","7,394","7,618","2,823","52,250","15,114",75,"4,209"
,North Gyeongsang Pohang-si,"18,882",881,"1,102",104,"11,711","4,380",0,704
,North Gyeongsang Gyeongju-si,"8,072",358,834,131,"4,922","1,266",0,561
,North Gyeongsang Gimcheon-si,"4,667",416,654,24,"2,076",934,0,563
,North Gyeongsang Andong-si,"4,794",607,963,128,"2,202",443,0,451
,North Gyeongsang Gumi-si,"19,671",758,837,516,"12,012","4,660",75,813
,North Gyeongsang Yeongju-si,"2,977",366,224,488,"1,662",167,0,70
,North Gyeongsang Yeongcheon-si,"2,488",251,448,0,"1,368",257,0,164
,North Gyeongsang Sangju-si,"1,717",144,92,89,"1,174",188,0,30
,North Gyeongsang Mungyeong-si,"1,559",234,200,78,799,221,0,27
,North Gyeongsang Gyeongsan-si,"9,936",381,742,345,"6,920","1,228",0,320
,North Gyeongsang Gunwi-gun,290,17,160,0,113,0,0,0
,North Gyeongsang Uiseong-gun,903,129,517,111,126,20,0,0
,North Gyeongsang Cheongsong-gun,451,144,39,77,132,20,0,39
,North Gyeongsang Yeongyang-gun,265,163,0,79,23,0,0,0
,North Gyeongsang Yeongdeok-gun,822,343,0,0,479,0,0,0
,North Gyeongsang Cheongdo-gun,561,211,146,0,184,20,0,0
,North Gyeongsang Goryeong-gun,934,266,142,0,526,0,0,0
,North Gyeongsang Seongju-gun,655,235,0,0,316,104,0,0
,North Gyeongsang Chilgok-gun,"6,048",340,294,331,"4,120",815,0,148
,North Gyeongsang Yecheon-gun,"1,530",209,159,180,613,320,0,49
,North Gyeongsang Bonghwa-gun,575,282,65,79,111,38,0,0
,North Gyeongsang Uljin-gun,"1,596",569,0,63,661,33,0,270
,North Gyeongsang Ulleung-gun,90,90,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,"125,015","11,078","8,462","3,573","69,235","28,296",178,"4,193"
,South Gyeongsang Changwon-si,"37,376","3,449","2,377","1,075","18,930","9,614",0,"1,931"
,South Gyeongsang Jinju-si,"14,751","1,321",858,229,"9,503","2,202",0,638
,South Gyeongsang Tongyeong-si,"5,340",629,247,69,"3,459",727,0,209
,South Gyeongsang Sacheon-si,"5,734",470,380,416,"3,402",731,0,335
,South Gyeongsang Gimhae-si,"21,787","1,560",617,227,"12,336","6,948",0,99
,South Gyeongsang Miryang-si,"2,897",105,870,39,"1,451",383,0,49
,South Gyeongsang Geoje-si,"11,518",844,351,0,"7,245","2,490",17,571
,South Gyeongsang Yangsan-si,"14,377",473,"1,276",99,"7,789","4,391",161,188
,South Gyeongsang Uiryeong-gun,452,131,0,138,145,38,0,0
,South Gyeongsang Haman-gun,"2,052",174,280,80,"1,009",421,0,88
,South Gyeongsang Changnyeong-gun,"1,453",232,272,80,814,20,0,35
,South Gyeongsang Goseong-gun,"1,602",220,285,193,793,111,0,0
,South Gyeongsang Namhae-gun,738,122,0,365,231,20,0,0
,South Gyeongsang Hadong-gun,"1,036",152,222,179,433,0,0,50
,South Gyeongsang Sancheong-gun,641,423,0,107,111,0,0,0
,South Gyeongsang Hamgyang-gun,785,247,362,45,91,40,0,0
,South Gyeongsang Geochang-gun,"1,831",299,0,86,"1,346",100,0,0
,South Gyeongsang Hapcheon-gun,645,227,65,146,147,60,0,0
Jeju,Jeju Total,"29,950","2,119","7,434","3,290","13,454","2,412",0,"1,241"
,Jeju Jeju-si,"22,373","1,107","4,583","2,069","11,351","2,117",0,"1,146"
,Jeju Seogwipo-si,"7,577","1,012","2,851","1,221","2,103",295,0,95
