,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Yangpyeong-gun,"3,273",802,51,75,"2,081",190,0,74
Gangwon,Gangwon Total,"48,591","8,511","8,225","2,361","19,428","6,663",100,"3,303"
,Gangwon Chuncheon-si,"9,673","1,417","1,203",652,"3,755","1,874",50,722
,Gangwon Wonju-si,"12,355","1,745",905,375,"5,917","2,395",30,988
,Gangwon Gangneung-si,"6,233",627,"1,323",88,"3,205",627,20,343
,Gangwon Donghae-si,"3,014",200,738,223,"1,156",601,0,96
,Gangwon Taebaek-si,"1,341",689,163,75,184,80,0,150
,Gangwon Sokcho-si,"2,807",622,540,144,"1,068",334,0,99
,Gangwon Samcheok-si,"1,734",454,201,0,749,301,0,29
,Gangwon Hongcheon-gun,"2,104",199,347,179,"1,107",104,0,168
,Gangwon Hoengseong-gun,"1,297",115,642,89,331,60,0,60
,Gangwon Yeongwol-gun,713,99,355,125,94,40,0,0
,Gangwon Pyongchang-gun,885,394,147,99,225,20,0,0
,Gangwon Jeongseon-gun,999,356,624,0,0,19,0,0
,Gangwon Cheolwon-gun,"1,553",154,182,64,964,32,0,157
,Gangwon Hwacheon-gun,840,337,120,0,230,60,0,93
,Gangwon Yanggu-gun,833,144,388,91,83,20,0,107
,Gangwon Inje-gun,"1,090",353,138,100,131,77,0,291
,Gangwon Goseong-gun,599,409,0,0,190,0,0,0
,Gangwon Yangyang-gun,521,197,209,57,39,19,0,0
North Chungcheong,North Chungcheong Total,"58,541","7,207","9,909","2,415","28,762","7,456",94,"2,698"
,North Chungcheong Cheongju-si,"34,536","2,926","4,053",873,"18,933","5,919",0,"1,832"
,North Chungcheong Chungju-si,"7,004",926,"1,422",166,"3,792",587,20,91
,North Chungcheong Jecheon-si,"3,693",747,689,423,"1,407",179,0,248
,North Chungcheong Boeun-gun,511,99,140,0,247,0,0,25
,North Chungcheong Okcheon-gun,"1,065",286,212,70,434,37,0,26
,North Chungcheong Yeongdong-gun,"1,054",201,551,49,189,0,39,25
,North Chungcheong Jincheon-gun,"3,845",934,680,337,"1,246",334,0,314
,North Chungcheong Goesan-gun,691,130,343,159,0,20,0,39
,North Chungcheong Eumseong-gun,"3,535",589,"1,043",194,"1,285",340,35,49
,North Chungcheong Jeungpyong-gun,"1,761",102,341,0,"1,229",40,0,49
,North Chungcheong Danyang-gun,846,267,435,144,0,0,0,0
South Chungcheong,South Chungcheong Total,"79,979","7,701","9,398","2,707","41,131","15,018",70,"3,954"
,South Chungcheong Cheonan-si,"24,555","2,496",551,487,"13,191","6,654",70,"1,106"
,South Chungcheong Gongju-si,"2,918",520,463,211,"1,329",395,0,0
,South Chungcheong Boryeong-si,"2,780",314,547,234,"1,200",355,0,130
,South Chungcheong Asan-si,"17,644","1,302","1,004",153,"10,192","4,089",0,904
,South Chungcheong Seosan-si,"7,345",379,"1,086",260,"4,186","1,066",0,368
,South Chungcheong Nonsan-si,"4,095",315,786,372,"1,916",443,0,263
,South Chungcheong Gyerong-si,"1,556",80,190,85,702,345,0,154
,South Chungcheong Geumsan-gun,"1,215",296,311,91,395,19,0,103
,South Chungcheong Buyeo-gun,"1,377",199,762,70,208,138,0,0
,South Chungcheong Seocheon-gun,"1,380",215,732,202,191,40,0,0
,South Chungcheong Cheongyang-gun,593,116,196,0,221,60,0,0
,South Chungcheong Hongseong-gun,"2,935",391,787,39,"1,131",325,0,262
,South Chungcheong Yesan-gun,"1,614",156,704,52,512,100,0,90
,South Chungcheong Taean-gun,"1,544",68,471,78,669,40,0,218
,South Chungcheong Dangjin-si,"8,428",854,808,373,"5,088",949,0,356
North Jeolla,North Jeolla Total,"59,314","6,753","10,820","6,170","25,550","8,202",20,"1,799"
,North Jeolla Jeonju-si,"23,982","2,094","3,429","1,098","12,154","4,215",20,972
,North Jeolla Gunsan-si,"10,191","1,299","1,741","1,084","4,584","1,254",0,229
,North Jeolla Iksan-si,"8,796",845,"1,499",854,"3,866","1,412",0,320
,North Jeolla Jeongeup-si,"2,815",388,839,205,960,384,0,39
,North Jeolla Namwon-si,"3,039",243,637,567,"1,324",268,0,0
,North Jeolla Gimje-si,"2,131",279,743,398,491,171,0,49
,North Jeolla Wanju-gun,"3,443",373,933,487,"1,225",345,0,80
,North Jeolla Jinan-gun,396,139,0,257,0,0,0,0
,North Jeolla Muju-gun,545,249,0,180,116,0,0,0
,North Jeolla Jangsu-gun,519,181,318,0,0,20,0,0
,North Jeolla Imsil-gun,654,0,142,473,0,0,0,39
,North Jeolla Sunchang-gun,471,246,85,120,0,20,0,0
,North Jeolla Gochang-gun,"1,299",245,454,265,240,55,0,40
,North Jeolla Buan-gun,"1,033",172,0,182,590,58,0,31
South Jeolla,South Jeolla Total,"61,869","10,069","14,515","3,433","24,651","6,378",70,"2,753"
,South Jeolla Mokpo-si,"10,874",682,"1,949",0,"6,305","1,738",50,150
,South Jeolla Yeosu-si,"9,056","1,305","2,268",314,"3,960",646,0,563
,South Jeolla Suncheon-si,"9,910","1,278",995,380,"5,212","1,655",0,390
,South Jeolla Naju-si,"4,479",860,671,0,"1,695",561,0,692
,South Jeolla Gwangyang-si,"7,309","1,749",921,123,"3,582",618,0,316
,South Jeolla Damyang-gun,834,202,153,99,301,20,0,59
,South Jeolla Gokseong-gun,645,328,247,70,0,0,0,0
,South Jeolla Gurye-gun,500,224,0,224,32,20,0,0
,South Jeolla Goheung-gun,"1,186",165,473,288,240,20,0,0
,South Jeolla Boseong-gun,831,309,330,75,97,20,0,0
,South Jeolla Hwasun-gun,"1,912",387,492,36,688,309,0,0
,South Jeolla Jangheung-gun,783,354,223,126,0,60,20,0
,South Jeolla Gangjin-gun,891,39,342,283,227,0,0,0
,South Jeolla Haenam-gun,"1,639",187,893,117,422,20,0,0
,South Jeolla Yeongam-gun,"2,537",197,"1,102",303,650,125,0,160
,South Jeolla Muan-gun,"2,631",381,642,222,856,367,0,163
,South Jeolla Hampyeong-gun,869,149,701,0,0,19,0,0
,South Jeolla Yeongwang-gun,"1,546",548,505,294,39,40,0,120
,South Jeolla Jangseong-gun,"1,015",261,456,79,39,40,0,140
,South Jeolla Wando-gun,"1,203",233,385,247,278,60,0,0
,South Jeolla Jindo-gun,699,93,385,153,28,40,0,0
,South Jeolla Sinan-gun,520,138,382,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,"81,541","9,246","7,095","2,709","45,163","12,667",75,"4,586"
,North Gyeongsang Pohang-si,"17,118",963,"1,102",104,"10,852","3,312",0,785
,North Gyeongsang Gyeongju-si,"7,474",517,801,230,"4,349","1,006",0,571
,North Gyeongsang Gimcheon-si,"4,048",436,578,0,"1,610",812,0,612
,North Gyeongsang Andong-si,"4,444",734,721,167,"1,898",428,0,496
,North Gyeongsang Gumi-si,"17,803","1,008",883,516,"10,221","4,225",75,875
,North Gyeongsang Yeongju-si,"2,665",485,215,380,"1,328",187,0,70
,North Gyeongsang Yeongcheon-si,"2,210",329,346,0,"1,235",205,0,95
,North Gyeongsang Sangju-si,"1,376",473,92,89,556,136,0,30
,North Gyeongsang Mungyeong-si,"1,378",198,200,78,635,240,0,27
,North Gyeongsang Gyeongsan-si,"9,349",782,742,337,"6,246",922,0,320
,North Gyeongsang Gunwi-gun,306,33,160,0,113,0,0,0
,North Gyeongsang Uiseong-gun,903,255,517,111,0,20,0,0
,North Gyeongsang Cheongsong-gun,382,199,47,77,0,20,0,39
,North Gyeongsang Yeongyang-gun,230,181,0,49,0,0,0,0
,North Gyeongsang Yeongdeok-gun,801,343,0,0,458,0,0,0
,North Gyeongsang Cheongdo-gun,449,211,47,0,171,20,0,0
,North Gyeongsang Goryeong-gun,865,266,142,0,457,0,0,0
,North Gyeongsang Seongju-gun,583,235,0,0,277,71,0,0
,North Gyeongsang Chilgok-gun,"5,440",378,294,331,"3,637",652,0,148
,North Gyeongsang Yecheon-gun,"1,656",349,159,117,593,340,0,98
,North Gyeongsang Bonghwa-gun,483,251,49,60,85,38,0,0
,North Gyeongsang Uljin-gun,"1,488",530,0,63,442,33,0,420
,North Gyeongsang Ulleung-gun,90,90,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,"112,049","16,976","7,936","3,122","57,114","22,322",178,"4,401"
,South Gyeongsang Changwon-si,"34,429","5,210","2,276",904,"16,279","7,769",0,"1,991"
,South Gyeongsang Jinju-si,"13,130","1,579",631,229,"8,121","1,914",0,656
,South Gyeongsang Tongyeong-si,"4,135",959,247,0,"2,347",461,0,121
,South Gyeongsang Sacheon-si,"5,036",986,320,264,"2,620",412,0,434
,South Gyeongsang Gimhae-si,"19,707","3,235",615,211,"10,316","5,171",0,159
,South Gyeongsang Miryang-si,"2,442",348,833,39,896,277,0,49
,South Gyeongsang Geoje-si,"10,132","1,139",351,0,"5,956","2,078",17,591
,South Gyeongsang Yangsan-si,"13,773",993,"1,274",259,"7,141","3,718",161,227
,South Gyeongsang Uiryeong-gun,394,174,0,138,63,19,0,0
,South Gyeongsang Haman-gun,"1,661",320,280,55,669,249,0,88
,South Gyeongsang Changnyeong-gun,"1,242",264,272,80,571,20,0,35
,South Gyeongsang Goseong-gun,"1,351",220,270,193,614,54,0,0
,South Gyeongsang Namhae-gun,601,161,0,268,172,0,0,0
,South Gyeongsang Hadong-gun,793,220,140,144,239,0,0,50
,South Gyeongsang Sancheong-gun,568,398,0,92,78,0,0,0
,South Gyeongsang Hamgyang-gun,660,225,362,33,0,40,0,0
,South Gyeongsang Geochang-gun,"1,448",318,0,67,963,100,0,0
,South Gyeongsang Hapcheon-gun,547,227,65,146,69,40,0,0
Jeju,Jeju Total,"29,017","2,497","7,333","3,141","12,538","2,022",0,"1,486"
