,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Incheon Ganghwa-gun,Total,797,359,0,59,330,19,0,30
,Incheon Ganghwa-gun,Male,410,176,0,32,169,12,0,21
,Incheon Ganghwa-gun,Female,387,183,0,27,161,7,0,9
,Incheon Ongjin-gun,Total,316,218,0,0,44,0,0,54
,Incheon Ongjin-gun,Male,171,120,0,0,25,0,0,26
,Incheon Ongjin-gun,Female,145,98,0,0,19,0,0,28
Gwangju,Gwangju Total,Total,"41,530","2,815","7,363","1,343","20,575","7,697",166,"1,571"
,Gwangju Total,Male,"21,656","1,432","3,944",705,"10,702","3,980",83,810
,Gwangju Total,Female,"19,874","1,383","3,419",638,"9,873","3,717",83,761
,Gwangju Dong-gu,Total,"2,303",69,562,112,"1,042",169,0,349
,Gwangju Dong-gu,Male,"1,242",37,290,61,576,98,0,180
,Gwangju Dong-gu,Female,"1,061",32,272,51,466,71,0,169
,Gwangju Seo-gu,Total,"7,316",732,"1,113",67,"3,219","1,781",15,389
,Gwangju Seo-gu,Male,"3,828",354,659,32,"1,648",929,7,199
,Gwangju Seo-gu,Female,"3,488",378,454,35,"1,571",852,8,190
,Gwangju Nam-gu,Total,"5,316",272,"1,301",498,"2,410",729,56,50
,Gwangju Nam-gu,Male,"2,791",147,678,259,"1,271",381,28,27
,Gwangju Nam-gu,Female,"2,525",125,623,239,"1,139",348,28,23
,Gwangju Buk-gu,Total,"11,893","1,014","2,428",530,"5,606","1,838",0,477
,Gwangju Buk-gu,Male,"6,103",524,"1,261",283,"2,889",900,0,246
,Gwangju Buk-gu,Female,"5,790",490,"1,167",247,"2,717",938,0,231
,Gwangju Gwangsan-gu,Total,"14,702",728,"1,959",136,"8,298","3,180",95,306
,Gwangju Gwangsan-gu,Male,"7,692",370,"1,056",70,"4,318","1,672",48,158
,Gwangju Gwangsan-gu,Female,"7,010",358,903,66,"3,980","1,508",47,148
Daejeon,Daejeon Total,Total,"38,526","2,936","2,662",572,"15,695","12,479",207,"3,975"
,Daejeon Total,Male,"20,041","1,574","1,363",293,"8,236","6,461",110,"2,004"
,Daejeon Total,Female,"18,485","1,362","1,299",279,"7,459","6,018",97,"1,971"
,Daejeon Dong-gu,Total,"5,744",436,738,117,"3,026","1,251",33,143
,Daejeon Dong-gu,Male,"2,984",237,360,68,"1,585",642,17,75
,Daejeon Dong-gu,Female,"2,760",199,378,49,"1,441",609,16,68
,Daejeon Jung-gu,Total,"5,144",643,343,95,"2,572","1,317",32,142
,Daejeon Jung-gu,Male,"2,696",346,172,47,"1,343",708,17,63
