Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,North Jeolla Gunsan-si,Female,"4,385 ",340 ,586 ,416 ,"2,175 ",808 ,0 ,60 
,North Jeolla Iksan-si,Total,"8,052 ",547 ,"1,064 ",848 ,"3,870 ","1,583 ",0 ,140 
,North Jeolla Iksan-si,Male,"4,204 ",293 ,575 ,444 ,"2,008 ",807 ,0 ,77 
,North Jeolla Iksan-si,Female,"3,848 ",254 ,489 ,404 ,"1,862 ",776 ,0 ,63 
,North Jeolla Jeongeup-si,Total,"2,831 ",279 ,702 ,209 ,"1,282 ",326 ,0 ,33 
,North Jeolla Jeongeup-si,Male,"1,472 ",162 ,351 ,105 ,671 ,164 ,0 ,19 
,North Jeolla Jeongeup-si,Female,"1,359 ",117 ,351 ,104 ,611 ,162 ,0 ,14 
,North Jeolla Namwon-si,Total,"2,425 ",26 ,511 ,305 ,"1,215 ",368 ,0 ,0 
,North Jeolla Namwon-si,Male,"1,288 ",14 ,264 ,172 ,644 ,194 ,0 ,0 
,North Jeolla Namwon-si,Female,"1,137 ",12 ,247 ,133 ,571 ,174 ,0 ,0 
,North Jeolla Gimje-si,Total,"1,873 ",191 ,596 ,317 ,470 ,283 ,0 ,16 
,North Jeolla Gimje-si,Male,970 ,92 ,313 ,170 ,246 ,135 ,0 ,14 
,North Jeolla Gimje-si,Female,903 ,99 ,283 ,147 ,224 ,148 ,0 ,2 
,North Jeolla Wanju-gun,Total,"2,974 ",232 ,713 ,308 ,"1,232 ",435 ,0 ,54 
,North Jeolla Wanju-gun,Male,"1,505 ",127 ,354 ,159 ,630 ,205 ,0 ,30 
,North Jeolla Wanju-gun,Female,"1,469 ",105 ,359 ,149 ,602 ,230 ,0 ,24 
,North Jeolla Jinan-gun,Total,299 ,113 ,0 ,182 ,4 ,0 ,0 ,0 
,North Jeolla Jinan-gun,Male,151 ,55 ,0 ,95 ,1 ,0 ,0 ,0 
,North Jeolla Jinan-gun,Female,148 ,58 ,0 ,87 ,3 ,0 ,0 ,0 
,North Jeolla Muju-gun,Total,482 ,159 ,34 ,132 ,135 ,22 ,0 ,0 
,North Jeolla Muju-gun,Male,268 ,82 ,20 ,72 ,78 ,16 ,0 ,0 
,North Jeolla Muju-gun,Female,214 ,77 ,14 ,60 ,57 ,6 ,0 ,0 
,North Jeolla Jangsu-gun,Total,436 ,143 ,273 ,0 ,0 ,20 ,0 ,0 
,North Jeolla Jangsu-gun,Male,210 ,67 ,133 ,0 ,0 ,10 ,0 ,0 
,North Jeolla Jangsu-gun,Female,226 ,76 ,140 ,0 ,0 ,10 ,0 ,0 
,North Jeolla Imsil-gun,Total,434 ,0 ,83 ,303 ,0 ,9 ,0 ,39 
,North Jeolla Imsil-gun,Male,241 ,0 ,56 ,163 ,0 ,7 ,0 ,15 
,North Jeolla Imsil-gun,Female,193 ,0 ,27 ,140 ,0 ,2 ,0 ,24 
,North Jeolla Sunchang-gun,Total,461 ,90 ,71 ,162 ,108 ,30 ,0 ,0 
,North Jeolla Sunchang-gun,Male,238 ,41 ,36 ,84 ,59 ,18 ,0 ,0 
,North Jeolla Sunchang-gun,Female,223 ,49 ,35 ,78 ,49 ,12 ,0 ,0 
,North Jeolla Gochang-gun,Total,"1,133 ",121 ,346 ,223 ,374 ,69 ,0 ,0 
,North Jeolla Gochang-gun,Male,612 ,72 ,188 ,118 ,196 ,38 ,0 ,0 
,North Jeolla Gochang-gun,Female,521 ,49 ,158 ,105 ,178 ,31 ,0 ,0 
,North Jeolla Buan-gun,Total,992 ,62 ,0 ,113 ,755 ,49 ,0 ,13 
,North Jeolla Buan-gun,Male,527 ,30 ,0 ,74 ,393 ,21 ,0 ,9 
,North Jeolla Buan-gun,Female,465 ,32 ,0 ,39 ,362 ,28 ,0 ,4 
South Jeolla,South Jeolla Total,Total,"53,772 ","5,113 ","11,943 ","3,129 ","24,150 ","7,549 ",77 ,"1,811 "
,South Jeolla Total,Male,"27,585 ","2,590 ","6,189 ","1,625 ","12,321 ","3,869 ",36 ,955 
,South Jeolla Total,Female,"26,187 ","2,523 ","5,754 ","1,504 ","11,829 ","3,680 ",41 ,856 
,South Jeolla Mokpo-si,Total,"9,572 ",313 ,"1,466 ",119 ,"5,513 ","2,043 ",57 ,61 
,South Jeolla Mokpo-si,Male,"4,909 ",158 ,762 ,67 ,"2,828 ","1,031 ",29 ,34 
,South Jeolla Mokpo-si,Female,"4,663 ",155 ,704 ,52 ,"2,685 ","1,012 ",28 ,27 
,South Jeolla Yeosu-si,Total,"8,336 ",853 ,"2,063 ",333 ,"4,038 ",678 ,0 ,371 
,South Jeolla Yeosu-si,Male,"4,266 ",440 ,"1,072 ",188 ,"2,043 ",322 ,0 ,201 
,South Jeolla Yeosu-si,Female,"4,070 ",413 ,991 ,145 ,"1,995 ",356 ,0 ,170 
,South Jeolla Suncheon-si,Total,"9,408 ",882 ,827 ,344 ,"4,975 ","2,173 ",0 ,207 
,South Jeolla Suncheon-si,Male,"4,846 ",460 ,425 ,184 ,"2,530 ","1,143 ",0 ,104 
,South Jeolla Suncheon-si,Female,"4,562 ",422 ,402 ,160 ,"2,445 ","1,030 ",0 ,103 
,South Jeolla Naju-si,Total,"3,394 ",479 ,471 ,30 ,"1,384 ",507 ,0 ,523 
,South Jeolla Naju-si,Male,"1,749 ",248 ,236 ,16 ,706 ,267 ,0 ,276 
,South Jeolla Naju-si,Female,"1,645 ",231 ,235 ,14 ,678 ,240 ,0 ,247 
,South Jeolla Gwangyang-si,Total,"6,520 ",894 ,701 ,109 ,"3,896 ",762 ,0 ,158 
,South Jeolla Gwangyang-si,Male,"3,319 ",435 ,381 ,60 ,"1,976 ",389 ,0 ,78 
,South Jeolla Gwangyang-si,Female,"3,201 ",459 ,320 ,49 ,"1,920 ",373 ,0 ,80 
,South Jeolla Damyang-gun,Total,637 ,0 ,77 ,61 ,446 ,15 ,0 ,38 
,South Jeolla Damyang-gun,Male,318 ,0 ,40 ,26 ,229 ,8 ,0 ,15 
,South Jeolla Damyang-gun,Female,319 ,0 ,37 ,35 ,217 ,7 ,0 ,23 
,South Jeolla Gokseong-gun,Total,508 ,117 ,333 ,58 ,0 ,0 ,0 ,0 
,South Jeolla Gokseong-gun,Male,268 ,64 ,170 ,34 ,0 ,0 ,0 ,0 
,South Jeolla Gokseong-gun,Female,240 ,53 ,163 ,24 ,0 ,0 ,0 ,0 
,South Jeolla Gurye-gun,Total,460 ,80 ,0 ,202 ,129 ,49 ,0 ,0 
,South Jeolla Gurye-gun,Male,220 ,31 ,0 ,91 ,75 ,23 ,0 ,0 
,South Jeolla Gurye-gun,Female,240 ,49 ,0 ,111 ,54 ,26 ,0 ,0 
,South Jeolla Goheung-gun,Total,"1,009 ",41 ,382 ,243 ,323 ,20 ,0 ,0 
,South Jeolla Goheung-gun,Male,520 ,20 ,191 ,127 ,171 ,11 ,0 ,0 
,South Jeolla Goheung-gun,Female,489 ,21 ,191 ,116 ,152 ,9 ,0 ,0 
,South Jeolla Boseong-gun,Total,674 ,279 ,239 ,43 ,104 ,9 ,0 ,0 
,South Jeolla Boseong-gun,Male,358 ,145 ,131 ,26 ,53 ,3 ,0 ,0 
,South Jeolla Boseong-gun,Female,316 ,134 ,108 ,17 ,51 ,6 ,0 ,0 
,South Jeolla Hwasun-gun,Total,"1,698 ",33 ,442 ,48 ,763 ,412 ,0 ,0 
,South Jeolla Hwasun-gun,Male,864 ,17 ,230 ,21 ,388 ,208 ,0 ,0 
,South Jeolla Hwasun-gun,Female,834 ,16 ,212 ,27 ,375 ,204 ,0 ,0 
,South Jeolla Jangheung-gun,Total,780 ,178 ,280 ,146 ,69 ,87 ,20 ,0 
,South Jeolla Jangheung-gun,Male,411 ,93 ,149 ,85 ,34 ,43 ,7 ,0 
,South Jeolla Jangheung-gun,Female,369 ,85 ,131 ,61 ,35 ,44 ,13 ,0 
,South Jeolla Gangjin-gun,Total,781 ,0 ,341 ,252 ,188 ,0 ,0 ,0 
,South Jeolla Gangjin-gun,Male,403 ,0 ,189 ,114 ,100 ,0 ,0 ,0 
,South Jeolla Gangjin-gun,Female,378 ,0 ,152 ,138 ,88 ,0 ,0 ,0 
,South Jeolla Haenam-gun,Total,"1,359 ",24 ,729 ,79 ,502 ,25 ,0 ,0 
,South Jeolla Haenam-gun,Male,635 ,10 ,349 ,35 ,224 ,17 ,0 ,0 
,South Jeolla Haenam-gun,Female,724 ,14 ,380 ,44 ,278 ,8 ,0 ,0 
,South Jeolla Yeongam-gun,Total,"1,666 ",62 ,750 ,231 ,400 ,136 ,0 ,87 
,South Jeolla Yeongam-gun,Male,870 ,34 ,406 ,111 ,200 ,64 ,0 ,55 
,South Jeolla Yeongam-gun,Female,796 ,28 ,344 ,120 ,200 ,72 ,0 ,32 
,South Jeolla Muan-gun,Total,"2,227 ",153 ,437 ,159 ,889 ,430 ,0 ,159 
,South Jeolla Muan-gun,Male,"1,190 ",76 ,242 ,84 ,485 ,221 ,0 ,82 
,South Jeolla Muan-gun,Female,"1,037 ",77 ,195 ,75 ,404 ,209 ,0 ,77 
,South Jeolla Hampyeong-gun,Total,570 ,57 ,463 ,18 ,13 ,19 ,0 ,0 
,South Jeolla Hampyeong-gun,Male,291 ,31 ,238 ,8 ,5 ,9 ,0 ,0 
,South Jeolla Hampyeong-gun,Female,279 ,26 ,225 ,10 ,8 ,10 ,0 ,0 
,South Jeolla Yeongwang-gun,Total,"1,194 ",40 ,636 ,218 ,163 ,52 ,0 ,85 
,South Jeolla Yeongwang-gun,Male,630 ,21 ,320 ,120 ,81 ,36 ,0 ,52 
,South Jeolla Yeongwang-gun,Female,564 ,19 ,316 ,98 ,82 ,16 ,0 ,33 
,South Jeolla Jangseong-gun,Total,850 ,212 ,342 ,55 ,82 ,37 ,0 ,122 
,South Jeolla Jangseong-gun,Male,420 ,101 ,172 ,29 ,43 ,17 ,0 ,58 
,South Jeolla Jangseong-gun,Female,430 ,111 ,170 ,26 ,39 ,20 ,0 ,64 
,South Jeolla Wando-gun,Total,"1,074 ",196 ,360 ,241 ,220 ,57 ,0 ,0 
,South Jeolla Wando-gun,Male,560 ,100 ,173 ,133 ,122 ,32 ,0 ,0 
,South Jeolla Wando-gun,Female,514 ,96 ,187 ,108 ,98 ,25 ,0 ,0 
,South Jeolla Jindo-gun,Total,606 ,82 ,293 ,140 ,53 ,38 ,0 ,0 
,South Jeolla Jindo-gun,Male,309 ,43 ,147 ,66 ,28 ,25 ,0 ,0 
,South Jeolla Jindo-gun,Female,297 ,39 ,146 ,74 ,25 ,13 ,0 ,0 
,South Jeolla Sinan-gun,Total,449 ,138 ,311 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Male,229 ,63 ,166 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Female,220 ,75 ,145 ,0 ,0 ,0 ,0 ,0 
North Gyeongsang,North Gyeongsang Total,Total,"70,901 ","5,803 ","5,559 ","1,997 ","41,143 ","13,462 ",74 ,"2,863 "
,North Gyeongsang Total,Male,"36,981 ","2,977 ","2,996 ","1,081 ","21,504 ","6,948 ",31 ,"1,444 "
,North Gyeongsang Total,Female,"33,920 ","2,826 ","2,563 ",916 ,"19,639 ","6,514 ",43 ,"1,419 "
,North Gyeongsang Pohang-si,Total,"15,169 ",749 ,735 ,96 ,"9,052 ","3,965 ",0 ,572 
,North Gyeongsang Pohang-si,Male,"7,972 ",401 ,402 ,59 ,"4,794 ","2,030 ",0 ,286 
,North Gyeongsang Pohang-si,Female,"7,197 ",348 ,333 ,37 ,"4,258 ","1,935 ",0 ,286 
,North Gyeongsang Gyeongju-si,Total,"6,243 ",310 ,539 ,108 ,"3,699 ","1,238 ",0 ,349 
,North Gyeongsang Gyeongju-si,Male,"3,231 ",154 ,295 ,63 ,"1,887 ",654 ,0 ,178 
,North Gyeongsang Gyeongju-si,Female,"3,012 ",156 ,244 ,45 ,"1,812 ",584 ,0 ,171 
,North Gyeongsang Gimcheon-si,Total,"3,711 ",324 ,457 ,18 ,"1,662 ",859 ,0 ,391 
,North Gyeongsang Gimcheon-si,Male,"1,958 ",173 ,267 ,10 ,865 ,437 ,0 ,206 
,North Gyeongsang Gimcheon-si,Female,"1,753 ",151 ,190 ,8 ,797 ,422 ,0 ,185 
,North Gyeongsang Andong-si,Total,"3,891 ",457 ,692 ,98 ,"1,974 ",374 ,0 ,296 
,North Gyeongsang Andong-si,Male,"2,019 ",233 ,362 ,51 ,"1,026 ",192 ,0 ,155 
,North Gyeongsang Andong-si,Female,"1,872 ",224 ,330 ,47 ,948 ,182 ,0 ,141 
,North Gyeongsang Gumi-si,Total,"14,875 ",540 ,625 ,316 ,"8,802 ","3,983 ",74 ,535 
,North Gyeongsang Gumi-si,Male,"7,733 ",276 ,357 ,175 ,"4,549 ","2,070 ",31 ,275 
,North Gyeongsang Gumi-si,Female,"7,142 ",264 ,268 ,141 ,"4,253 ","1,913 ",43 ,260 
,North Gyeongsang Yeongju-si,Total,"2,496 ",318 ,217 ,403 ,"1,390 ",152 ,0 ,16 
,North Gyeongsang Yeongju-si,Male,"1,316 ",155 ,121 ,229 ,722 ,80 ,0 ,9 
,North Gyeongsang Yeongju-si,Female,"1,180 ",163 ,96 ,174 ,668 ,72 ,0 ,7 
,North Gyeongsang Yeongcheon-si,Total,"2,098 ",186 ,332 ,0 ,"1,251 ",216 ,0 ,113 
,North Gyeongsang Yeongcheon-si,Male,"1,069 ",80 ,163 ,0 ,652 ,111 ,0 ,63 
,North Gyeongsang Yeongcheon-si,Female,"1,029 ",106 ,169 ,0 ,599 ,105 ,0 ,50 
,North Gyeongsang Sangju-si,Total,"1,448 ",93 ,61 ,47 ,"1,080 ",167 ,0 ,0 
,North Gyeongsang Sangju-si,Male,771 ,49 ,25 ,16 ,596 ,85 ,0 ,0 
,North Gyeongsang Sangju-si,Female,677 ,44 ,36 ,31 ,484 ,82 ,0 ,0 
,North Gyeongsang Mungyeong-si,Total,"1,384 ",191 ,161 ,66 ,815 ,136 ,0 ,15 
,North Gyeongsang Mungyeong-si,Male,769 ,118 ,87 ,32 ,450 ,76 ,0 ,6 
,North Gyeongsang Mungyeong-si,Female,615 ,73 ,74 ,34 ,365 ,60 ,0 ,9 
,North Gyeongsang Gyeongsan-si,Total,"7,859 ",317 ,608 ,243 ,"5,282 ","1,169 ",0 ,240 
,North Gyeongsang Gyeongsan-si,Male,"3,973 ",155 ,324 ,121 ,"2,682 ",595 ,0 ,96 
,North Gyeongsang Gyeongsan-si,Female,"3,886 ",162 ,284 ,122 ,"2,600 ",574 ,0 ,144 
,North Gyeongsang Gunwi-gun,Total,222 ,13 ,112 ,0 ,97 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Male,125 ,10 ,58 ,0 ,57 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Female,97 ,3 ,54 ,0 ,40 ,0 ,0 ,0 
,North Gyeongsang Uiseong-gun,Total,675 ,99 ,370 ,69 ,117 ,20 ,0 ,0 
,North Gyeongsang Uiseong-gun,Male,350 ,51 ,183 ,37 ,67 ,12 ,0 ,0 
,North Gyeongsang Uiseong-gun,Female,325 ,48 ,187 ,32 ,50 ,8 ,0 ,0 
,North Gyeongsang Cheongsong-gun,Total,322 ,114 ,24 ,39 ,90 ,20 ,0 ,35 
,North Gyeongsang Cheongsong-gun,Male,168 ,59 ,13 ,16 ,47 ,14 ,0 ,19 
,North Gyeongsang Cheongsong-gun,Female,154 ,55 ,11 ,23 ,43 ,6 ,0 ,16 
,North Gyeongsang Yeongyang-gun,Total,194 ,123 ,0 ,48 ,23 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Male,94 ,59 ,0 ,24 ,11 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Female,100 ,64 ,0 ,24 ,12 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Total,668 ,233 ,0 ,0 ,435 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Male,334 ,123 ,0 ,0 ,211 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Female,334 ,110 ,0 ,0 ,224 ,0 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Total,464 ,170 ,138 ,0 ,137 ,19 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Male,248 ,97 ,72 ,0 ,72 ,7 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Female,216 ,73 ,66 ,0 ,65 ,12 ,0 ,0 
,North Gyeongsang Goryeong-gun,Total,707 ,178 ,65 ,0 ,464 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Male,368 ,90 ,37 ,0 ,241 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Female,339 ,88 ,28 ,0 ,223 ,0 ,0 ,0 
,North Gyeongsang Seongju-gun,Total,602 ,190 ,0 ,0 ,333 ,79 ,0 ,0 
,North Gyeongsang Seongju-gun,Male,300 ,87 ,0 ,0 ,168 ,45 ,0 ,0 
,North Gyeongsang Seongju-gun,Female,302 ,103 ,0 ,0 ,165 ,34 ,0 ,0 
,North Gyeongsang Chilgok-gun,Total,"5,007 ",316 ,210 ,236 ,"3,348 ",807 ,0 ,90 
,North Gyeongsang Chilgok-gun,Male,"2,687 ",156 ,125 ,128 ,"1,826 ",404 ,0 ,48 
,North Gyeongsang Chilgok-gun,Female,"2,320 ",160 ,85 ,108 ,"1,522 ",403 ,0 ,42 
,North Gyeongsang Yecheon-gun,Total,"1,058 ",169 ,158 ,97 ,452 ,182 ,0 ,0 
,North Gyeongsang Yecheon-gun,Male,543 ,88 ,78 ,57 ,225 ,95 ,0 ,0 
,North Gyeongsang Yecheon-gun,Female,515 ,81 ,80 ,40 ,227 ,87 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Total,434 ,197 ,55 ,60 ,75 ,47 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Male,244 ,113 ,27 ,33 ,41 ,30 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Female,190 ,84 ,28 ,27 ,34 ,17 ,0 ,0 
,North Gyeongsang Uljin-gun,Total,"1,299 ",443 ,0 ,51 ,565 ,29 ,0 ,211 
,North Gyeongsang Uljin-gun,Male,673 ,215 ,0 ,29 ,315 ,11 ,0 ,103 
,North Gyeongsang Uljin-gun,Female,626 ,228 ,0 ,22 ,250 ,18 ,0 ,108 
,North Gyeongsang Ulleung-gun,Total,75 ,73 ,0 ,2 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Male,36 ,35 ,0 ,1 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Female,39 ,38 ,0 ,1 ,0 ,0 ,0 ,0 
South Gyeongsang,South Gyeongsang Total,Total,"103,717 ","9,204 ","6,657 ","2,793 ","55,592 ","26,249 ",173 ,"3,049 "
,South Gyeongsang Total,Male,"53,869 ","4,802 ","3,460 ","1,477 ","28,915 ","13,558 ",81 ,"1,576 "
,South Gyeongsang Total,Female,"49,848 ","4,402 ","3,197 ","1,316 ","26,677 ","12,691 ",92 ,"1,473 "
,South Gyeongsang Changwon-si,Total,"31,332 ","2,784 ","1,906 ",807 ,"15,550 ","8,900 ",0 ,"1,385 "
,South Gyeongsang Changwon-si,Male,"16,342 ","1,431 ","1,012 ",426 ,"8,099 ","4,646 ",0 ,728 
,South Gyeongsang Changwon-si,Female,"14,990 ","1,353 ",894 ,381 ,"7,451 ","4,254 ",0 ,657 
,South Gyeongsang Jinju-si,Total,"12,124 ","1,060 ",648 ,226 ,"7,626 ","2,143 ",0 ,421 
,South Gyeongsang Jinju-si,Male,"6,368 ",578 ,329 ,124 ,"4,050 ","1,068 ",0 ,219 
,South Gyeongsang Jinju-si,Female,"5,756 ",482 ,319 ,102 ,"3,576 ","1,075 ",0 ,202 
,South Gyeongsang Tongyeong-si,Total,"4,545 ",620 ,234 ,66 ,"2,788 ",724 ,0 ,113 
,South Gyeongsang Tongyeong-si,Male,"2,307 ",310 ,113 ,35 ,"1,435 ",358 ,0 ,56 
,South Gyeongsang Tongyeong-si,Female,"2,238 ",310 ,121 ,31 ,"1,353 ",366 ,0 ,57 
,South Gyeongsang Sacheon-si,Total,"4,471 ",439 ,226 ,261 ,"2,640 ",689 ,0 ,216 
,South Gyeongsang Sacheon-si,Male,"2,296 ",224 ,115 ,140 ,"1,357 ",348 ,0 ,112 
,South Gyeongsang Sacheon-si,Female,"2,175 ",215 ,111 ,121 ,"1,283 ",341 ,0 ,104 
,South Gyeongsang Gimhae-si,Total,"17,875 ","1,304 ",514 ,175 ,"9,242 ","6,549 ",0 ,91 
,South Gyeongsang Gimhae-si,Male,"9,246 ",692 ,288 ,85 ,"4,757 ","3,380 ",0 ,44 
,South Gyeongsang Gimhae-si,Female,"8,629 ",612 ,226 ,90 ,"4,485 ","3,169 ",0 ,47 
,South Gyeongsang Miryang-si,Total,"2,275 ",90 ,532 ,25 ,"1,249 ",354 ,0 ,25 
,South Gyeongsang Miryang-si,Male,"1,176 ",41 ,282 ,17 ,654 ,170 ,0 ,12 
,South Gyeongsang Miryang-si,Female,"1,099 ",49 ,250 ,8 ,595 ,184 ,0 ,13 
,South Gyeongsang Geoje-si,Total,"10,084 ",579 ,321 ,0 ,"6,380 ","2,260 ",14 ,530 
,South Gyeongsang Geoje-si,Male,"5,283 ",308 ,160 ,0 ,"3,336 ","1,197 ",10 ,272 
,South Gyeongsang Geoje-si,Female,"4,801 ",271 ,161 ,0 ,"3,044 ","1,063 ",4 ,258 
,South Gyeongsang Yangsan-si,Total,"11,625 ",404 ,"1,086 ",98 ,"5,875 ","3,858 ",159 ,145 
,South Gyeongsang Yangsan-si,Male,"6,018 ",206 ,559 ,54 ,"3,066 ","1,995 ",71 ,67 
,South Gyeongsang Yangsan-si,Female,"5,607 ",198 ,527 ,44 ,"2,809 ","1,863 ",88 ,78 
,South Gyeongsang Uiryeong-gun,Total,379 ,101 ,0 ,109 ,135 ,34 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Male,206 ,55 ,0 ,56 ,77 ,18 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Female,173 ,46 ,0 ,53 ,58 ,16 ,0 ,0 
,South Gyeongsang Haman-gun,Total,"1,732 ",165 ,234 ,60 ,816 ,381 ,0 ,76 
,South Gyeongsang Haman-gun,Male,876 ,86 ,135 ,26 ,405 ,184 ,0 ,40 
,South Gyeongsang Haman-gun,Female,856 ,79 ,99 ,34 ,411 ,197 ,0 ,36 
,South Gyeongsang Changnyeong-gun,Total,"1,182 ",221 ,201 ,80 ,640 ,19 ,0 ,21 
,South Gyeongsang Changnyeong-gun,Male,607 ,113 ,91 ,46 ,335 ,10 ,0 ,12 
,South Gyeongsang Changnyeong-gun,Female,575 ,108 ,110 ,34 ,305 ,9 ,0 ,9 
,South Gyeongsang Goseong-gun,Total,"1,369 ",206 ,198 ,183 ,655 ,127 ,0 ,0 
,South Gyeongsang Goseong-gun,Male,678 ,92 ,89 ,96 ,328 ,73 ,0 ,0 
,South Gyeongsang Goseong-gun,Female,691 ,114 ,109 ,87 ,327 ,54 ,0 ,0 
,South Gyeongsang Namhae-gun,Total,689 ,121 ,0 ,290 ,258 ,20 ,0 ,0 
,South Gyeongsang Namhae-gun,Male,372 ,67 ,0 ,154 ,135 ,16 ,0 ,0 
,South Gyeongsang Namhae-gun,Female,317 ,54 ,0 ,136 ,123 ,4 ,0 ,0 
,South Gyeongsang Hadong-gun,Total,807 ,105 ,198 ,131 ,347 ,0 ,0 ,26 
,South Gyeongsang Hadong-gun,Male,433 ,56 ,107 ,77 ,179 ,0 ,0 ,14 
,South Gyeongsang Hadong-gun,Female,374 ,49 ,91 ,54 ,168 ,0 ,0 ,12 
,South Gyeongsang Sancheong-gun,Total,542 ,380 ,0 ,76 ,86 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Male,294 ,226 ,0 ,30 ,38 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Female,248 ,154 ,0 ,46 ,48 ,0 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Total,627 ,187 ,303 ,25 ,72 ,40 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Male,326 ,98 ,155 ,14 ,38 ,21 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Female,301 ,89 ,148 ,11 ,34 ,19 ,0 ,0 
,South Gyeongsang Geochang-gun,Total,"1,516 ",257 ,11 ,42 ,"1,113 ",93 ,0 ,0 
,South Gyeongsang Geochang-gun,Male,768 ,124 ,7 ,22 ,567 ,48 ,0 ,0 
,South Gyeongsang Geochang-gun,Female,748 ,133 ,4 ,20 ,546 ,45 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Total,543 ,181 ,45 ,139 ,120 ,58 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Male,273 ,95 ,18 ,75 ,59 ,26 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Female,270 ,86 ,27 ,64 ,61 ,32 ,0 ,0 
Jeju,Jeju Total,Total,"27,191 ","1,922 ","6,475 ","2,845 ","12,722 ","2,369 ",0 ,858 
,Jeju Total,Male,"13,984 ","1,015 ","3,433 ","1,447 ","6,443 ","1,225 ",0 ,421 
,Jeju Total,Female,"13,207 ",907 ,"3,042 ","1,398 ","6,279 ","1,144 ",0 ,437 
,Jeju Jeju-si,Total,"20,791 ","1,066 ","4,159 ","1,823 ","10,862 ","2,096 ",0 ,785 
,Jeju Jeju-si,Male,"10,716 ",560 ,"2,235 ",932 ,"5,516 ","1,088 ",0 ,385 
,Jeju Jeju-si,Female,"10,075 ",506 ,"1,924 ",891 ,"5,346 ","1,008 ",0 ,400 
,Jeju Seogwipo-si,Total,"6,400 ",856 ,"2,316 ","1,022 ","1,860 ",273 ,0 ,73 
,Jeju Seogwipo-si,Male,"3,268 ",455 ,"1,198 ",515 ,927 ,137 ,0 ,36 
,Jeju Seogwipo-si,Female,"3,132 ",401 ,"1,118 ",507 ,933 ,136 ,0 ,37 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
