Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Incheon Ganghwa-gun,Total,886 ,380 ,0 ,55 ,367 ,62 ,0 ,22 
,Incheon Ganghwa-gun,Male,452 ,198 ,0 ,29 ,177 ,34 ,0 ,14 
,Incheon Ganghwa-gun,Female,434 ,182 ,0 ,26 ,190 ,28 ,0 ,8 
,Incheon Ongjin-gun,Total,341 ,194 ,0 ,0 ,98 ,20 ,0 ,29 
,Incheon Ongjin-gun,Male,180 ,102 ,0 ,0 ,51 ,14 ,0 ,13 
,Incheon Ongjin-gun,Female,161 ,92 ,0 ,0 ,47 ,6 ,0 ,16 
Gwangju,Gwangju Total,Total,"46,650 ","2,305 ","8,270 ","1,443 ","23,773 ","9,181 ",258 ,"1,420 "
,Gwangju Total,Male,"24,137 ","1,177 ","4,358 ",751 ,"12,360 ","4,608 ",139 ,744 
,Gwangju Total,Female,"22,513 ","1,128 ","3,912 ",692 ,"11,413 ","4,573 ",119 ,676 
,Gwangju Dong-gu,Total,"2,326 ",67 ,576 ,117 ,"1,100 ",160 ,0 ,306 
,Gwangju Dong-gu,Male,"1,229 ",32 ,309 ,66 ,581 ,78 ,0 ,163 
,Gwangju Dong-gu,Female,"1,097 ",35 ,267 ,51 ,519 ,82 ,0 ,143 
,Gwangju Seo-gu,Total,"8,284 ",778 ,"1,331 ",63 ,"3,604 ","2,126 ",54 ,328 
,Gwangju Seo-gu,Male,"4,342 ",389 ,743 ,33 ,"1,863 ","1,110 ",31 ,173 
,Gwangju Seo-gu,Female,"3,942 ",389 ,588 ,30 ,"1,741 ","1,016 ",23 ,155 
,Gwangju Nam-gu,Total,"5,866 ",233 ,"1,392 ",498 ,"2,790 ",894 ,52 ,7 
,Gwangju Nam-gu,Male,"3,076 ",134 ,706 ,262 ,"1,486 ",457 ,26 ,5 
,Gwangju Nam-gu,Female,"2,790 ",99 ,686 ,236 ,"1,304 ",437 ,26 ,2 
,Gwangju Buk-gu,Total,"13,073 ",804 ,"2,617 ",571 ,"6,385 ","2,185 ",32 ,479 
,Gwangju Buk-gu,Male,"6,670 ",404 ,"1,350 ",289 ,"3,289 ","1,075 ",13 ,250 
,Gwangju Buk-gu,Female,"6,403 ",400 ,"1,267 ",282 ,"3,096 ","1,110 ",19 ,229 
,Gwangju Gwangsan-gu,Total,"17,101 ",423 ,"2,354 ",194 ,"9,894 ","3,816 ",120 ,300 
,Gwangju Gwangsan-gu,Male,"8,820 ",218 ,"1,250 ",101 ,"5,141 ","1,888 ",69 ,153 
,Gwangju Gwangsan-gu,Female,"8,281 ",205 ,"1,104 ",93 ,"4,753 ","1,928 ",51 ,147 
Daejeon,Daejon Total,Total,"43,761 ","1,911 ","3,043 ",603 ,"19,123 ","15,252 ",314 ,"3,515 "
