,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gangwon Chuncheon-si,Total,"6,788","1,361",595,288,"2,515","1,372",9,648
,Gangwon Chuncheon-si,Male,"3,499",716,310,149,"1,305",697,4,318
,Gangwon Chuncheon-si,Female,"3,289",645,285,139,"1,210",675,5,330
,Gangwon Wonju-si,Total,"8,355","1,602",480,184,"3,781","1,485",32,791
,Gangwon Wonju-si,Male,"4,375",870,274,89,"1,985",730,18,409
,Gangwon Wonju-si,Female,"3,980",732,206,95,"1,796",755,14,382
,Gangwon Gangneung-si,Total,"4,380",711,799,36,"2,126",330,13,365
,Gangwon Gangneung-si,Male,"2,280",371,435,22,"1,080",168,6,198
,Gangwon Gangneung-si,Female,"2,100",340,364,14,"1,046",162,7,167
,Gangwon Donghae-si,Total,"1,976",203,397,148,732,404,0,92
,Gangwon Donghae-si,Male,999,108,198,63,387,197,0,46
,Gangwon Donghae-si,Female,977,95,199,85,345,207,0,46
,Gangwon Taebaek-si,Total,826,431,109,25,47,72,0,142
,Gangwon Taebaek-si,Male,447,232,52,15,26,45,0,77
,Gangwon Taebaek-si,Female,379,199,57,10,21,27,0,65
,Gangwon Sokcho-si,Total,"2,156",669,461,85,740,177,0,24
,Gangwon Sokcho-si,Male,"1,117",350,239,47,379,91,0,11
,Gangwon Sokcho-si,Female,"1,039",319,222,38,361,86,0,13
,Gangwon Samcheok-si,Total,953,317,77,0,291,228,0,40
,Gangwon Samcheok-si,Male,479,159,41,0,143,119,0,17
,Gangwon Samcheok-si,Female,474,158,36,0,148,109,0,23
,Gangwon Hongcheon-gun,Total,"1,145",165,135,52,612,79,0,102
,Gangwon Hongcheon-gun,Male,586,81,66,30,310,41,0,58
,Gangwon Hongcheon-gun,Female,559,84,69,22,302,38,0,44
,Gangwon Hoengseong-gun,Total,709,82,269,26,282,20,0,30
,Gangwon Hoengseong-gun,Male,376,41,147,16,145,10,0,17
,Gangwon Hoengseong-gun,Female,333,41,122,10,137,10,0,13
,Gangwon Yeongwol-gun,Total,427,95,150,55,88,39,0,0
,Gangwon Yeongwol-gun,Male,234,60,86,27,44,17,0,0
,Gangwon Yeongwol-gun,Female,193,35,64,28,44,22,0,0
,Gangwon Pyongchang-gun,Total,499,264,105,57,73,0,0,0
,Gangwon Pyongchang-gun,Male,254,137,50,25,42,0,0,0
,Gangwon Pyongchang-gun,Female,245,127,55,32,31,0,0,0
,Gangwon Jeongseon-gun,Total,488,238,185,0,0,0,0,65
,Gangwon Jeongseon-gun,Male,221,104,89,0,0,0,0,28
,Gangwon Jeongseon-gun,Female,267,134,96,0,0,0,0,37
,Gangwon Cheolwon-gun,Total,"1,149",145,109,48,680,26,0,141
,Gangwon Cheolwon-gun,Male,560,75,47,30,331,10,0,67
,Gangwon Cheolwon-gun,Female,589,70,62,18,349,16,0,74
,Gangwon Hwacheon-gun,Total,616,254,94,0,139,43,0,86
,Gangwon Hwacheon-gun,Male,314,132,38,0,73,29,0,42
,Gangwon Hwacheon-gun,Female,302,122,56,0,66,14,0,44
,Gangwon Yanggu-gun,Total,568,142,241,52,37,6,0,90
,Gangwon Yanggu-gun,Male,268,72,107,25,18,4,0,42
,Gangwon Yanggu-gun,Female,300,70,134,27,19,2,0,48
,Gangwon Inje-gun,Total,873,236,111,74,177,38,0,237
,Gangwon Inje-gun,Male,426,121,46,42,88,20,0,109
,Gangwon Inje-gun,Female,447,115,65,32,89,18,0,128
,Gangwon Goseong-gun,Total,454,337,0,0,117,0,0,0
,Gangwon Goseong-gun,Male,221,164,0,0,57,0,0,0
,Gangwon Goseong-gun,Female,233,173,0,0,60,0,0,0
,Gangwon Yangyang-gun,Total,318,169,121,11,17,0,0,0
,Gangwon Yangyang-gun,Male,167,86,68,8,5,0,0,0
,Gangwon Yangyang-gun,Female,151,83,53,3,12,0,0,0
North Chuncheong,Total,Total,"38,884","6,790","5,511","1,286","18,309","5,009",29,"1,950"
,Total,Male,"20,107","3,500","2,863",668,"9,434","2,590",15,"1,037"
,Total,Female,"18,777","3,290","2,648",618,"8,875","2,419",14,913
,North Chungcheong Cheongju-si,Total,"23,925","3,008","2,287",449,"12,642","4,069",0,"1,470"
,North Chungcheong Cheongju-si,Male,"12,324","1,542","1,194",248,"6,480","2,101",0,759
,North Chungcheong Cheongju-si,Female,"11,601","1,466","1,093",201,"6,162","1,968",0,711
,North Chungcheong Chungju-si,Total,"4,372",876,963,186,"1,960",292,17,78
,North Chungcheong Chungju-si,Male,"2,271",446,487,101,"1,031",155,9,42
,North Chungcheong Chungju-si,Female,"2,101",430,476,85,929,137,8,36
,North Chungcheong Jecheon-si,Total,"2,380",618,374,139,"1,007",116,0,126
,North Chungcheong Jecheon-si,Male,"1,250",322,196,83,519,61,0,69
,North Chungcheong Jecheon-si,Female,"1,130",296,178,56,488,55,0,57
,North Chungcheong Boeun-gun,Total,373,50,110,0,204,0,0,9
,North Chungcheong Boeun-gun,Male,188,26,53,0,101,0,0,8
,North Chungcheong Boeun-gun,Female,185,24,57,0,103,0,0,1
,North Chungcheong Okcheon-gun,Total,651,262,125,67,171,16,0,10
,North Chungcheong Okcheon-gun,Male,351,154,64,26,90,10,0,7
,North Chungcheong Okcheon-gun,Female,300,108,61,41,81,6,0,3
,North Chungcheong Yeongdong-gun,Total,534,149,224,15,117,0,12,17
,North Chungcheong Yeongdong-gun,Male,280,74,121,11,57,0,6,11
,North Chungcheong Yeongdong-gun,Female,254,75,103,4,60,0,6,6
,North Chungcheong Jincheon-gun,Total,"2,616",919,328,182,754,254,0,179
,North Chungcheong Jincheon-gun,Male,"1,383",462,186,89,407,130,0,109
,North Chungcheong Jincheon-gun,Female,"1,233",457,142,93,347,124,0,70
,North Chungcheong Goesan-gun,Total,355,97,123,98,0,16,0,21
,North Chungcheong Goesan-gun,Male,185,55,69,42,0,8,0,11
,North Chungcheong Goesan-gun,Female,170,42,54,56,0,8,0,10
,North Chungcheong Eumseong-gun,Total,"2,150",433,592,96,794,218,0,17
,North Chungcheong Eumseong-gun,Male,"1,086",223,295,46,408,109,0,5
,North Chungcheong Eumseong-gun,Female,"1,064",210,297,50,386,109,0,12
,North Chungcheong Jeungpyong-gun,Total,"1,168",201,256,0,660,28,0,23
,North Chungcheong Jeungpyong-gun,Male,614,104,137,0,341,16,0,16
,North Chungcheong Jeungpyong-gun,Female,554,97,119,0,319,12,0,7
,North Chungcheong Danyang-gun,Total,360,177,129,54,0,0,0,0
,North Chungcheong Danyang-gun,Male,175,92,61,22,0,0,0,0
,North Chungcheong Danyang-gun,Female,185,85,68,32,0,0,0,0
South Chungcheong,Total,Total,"52,196","7,343","4,889","1,649","25,368","10,057",64,"2,826"
,Total,Male,"26,982","3,814","2,571",833,"13,083","5,186",32,"1,463"
,Total,Female,"25,214","3,529","2,318",816,"12,285","4,871",32,"1,363"
,South Chungcheong Cheonan-si,Total,"16,830","2,273",362,332,"8,610","4,521",64,668
,South Chungcheong Cheonan-si,Male,"8,733","1,166",189,177,"4,477","2,348",32,344
,South Chungcheong Cheonan-si,Female,"8,097","1,107",173,155,"4,133","2,173",32,324
,South Chungcheong Gongju-si,Total,"1,581",435,238,144,621,143,0,0
,South Chungcheong Gongju-si,Male,798,221,112,82,305,78,0,0
,South Chungcheong Gongju-si,Female,783,214,126,62,316,65,0,0
,South Chungcheong Boryeong-si,Total,"1,627",311,185,92,786,179,0,74
,South Chungcheong Boryeong-si,Male,876,167,98,46,429,91,0,45
,South Chungcheong Boryeong-si,Female,751,144,87,46,357,88,0,29
,South Chungcheong Asan-si,Total,"11,723","1,547",502,59,"6,289","2,669",0,657
,South Chungcheong Asan-si,Male,"6,089",812,269,24,"3,273","1,383",0,328
,South Chungcheong Asan-si,Female,"5,634",735,233,35,"3,016","1,286",0,329
,South Chungcheong Seosan-si,Total,"4,936",473,534,132,"2,687",820,0,290
,South Chungcheong Seosan-si,Male,"2,522",253,291,62,"1,353",414,0,149
,South Chungcheong Seosan-si,Female,"2,414",220,243,70,"1,334",406,0,141
,South Chungcheong Nonsan-si,Total,"2,698",229,476,249,"1,261",313,0,170
,South Chungcheong Nonsan-si,Male,"1,396",122,252,127,646,159,0,90
,South Chungcheong Nonsan-si,Female,"1,302",107,224,122,615,154,0,80
,South Chungcheong Gyerong-si,Total,"1,044",132,44,85,448,185,0,150
,South Chungcheong Gyerong-si,Male,535,69,21,43,247,87,0,68
,South Chungcheong Gyerong-si,Female,509,63,23,42,201,98,0,82
,South Chungcheong Geumsan-gun,Total,657,179,160,80,137,27,0,74
,South Chungcheong Geumsan-gun,Male,305,86,77,40,54,12,0,36
,South Chungcheong Geumsan-gun,Female,352,93,83,40,83,15,0,38
,South Chungcheong Buyeo-gun,Total,683,156,354,0,106,67,0,0
,South Chungcheong Buyeo-gun,Male,361,83,194,0,49,35,0,0
,South Chungcheong Buyeo-gun,Female,322,73,160,0,57,32,0,0
,South Chungcheong Seocheon-gun,Total,715,181,310,73,121,19,0,11
,South Chungcheong Seocheon-gun,Male,349,81,168,33,57,7,0,3
,South Chungcheong Seocheon-gun,Female,366,100,142,40,64,12,0,8
,South Chungcheong Cheongyang-gun,Total,327,64,119,0,83,61,0,0
,South Chungcheong Cheongyang-gun,Male,175,35,62,0,43,35,0,0
,South Chungcheong Cheongyang-gun,Female,152,29,57,0,40,26,0,0
,South Chungcheong Hongseong-gun,Total,"2,036",357,479,14,680,241,0,265
,South Chungcheong Hongseong-gun,Male,"1,081",185,251,6,359,135,0,145
,South Chungcheong Hongseong-gun,Female,955,172,228,8,321,106,0,120
,South Chungcheong Yesan-gun,Total,910,147,287,18,301,78,0,79
,South Chungcheong Yesan-gun,Male,475,75,157,9,153,37,0,44
,South Chungcheong Yesan-gun,Female,435,72,130,9,148,41,0,35
,South Chungcheong Taean-gun,Total,961,50,296,43,425,38,0,109
,South Chungcheong Taean-gun,Male,496,24,158,22,213,19,0,60
,South Chungcheong Taean-gun,Female,465,26,138,21,212,19,0,49
,South Chungcheong Dangjin-si,Total,"5,468",809,543,328,"2,813",696,0,279
,South Chungcheong Dangjin-si,Male,"2,791",435,272,162,"1,425",346,0,151
,South Chungcheong Dangjin-si,Female,"2,677",374,271,166,"1,388",350,0,128
North Jeolla,Total,Total,"34,789","5,900","5,542","2,945","14,816","4,470",9,"1,107"
,Total,Male,"17,901","2,974","2,922","1,527","7,627","2,288",4,559
,Total,Female,"16,888","2,926","2,620","1,418","7,189","2,182",5,548
,North Jeolla Jeonju-si,Total,"15,363","2,193","2,018",673,"7,499","2,259",9,712
,North Jeolla Jeonju-si,Male,"7,911","1,145","1,051",343,"3,881","1,119",4,368
,North Jeolla Jeonju-si,Female,"7,452","1,048",967,330,"3,618","1,140",5,344
,North Jeolla Gunsan-si,Total,"5,323","1,050",778,458,"2,234",675,0,128
,North Jeolla Gunsan-si,Male,"2,730",517,401,236,"1,144",368,0,64
,North Jeolla Gunsan-si,Female,"2,593",533,377,222,"1,090",307,0,64
,North Jeolla Iksan-si,Total,"4,859",695,681,409,"2,173",763,0,138
,North Jeolla Iksan-si,Male,"2,522",383,381,216,"1,075",396,0,71
,North Jeolla Iksan-si,Female,"2,337",312,300,193,"1,098",367,0,67
,North Jeolla Jeongeup-si,Total,"1,796",298,463,146,650,212,0,27
,North Jeolla Jeongeup-si,Male,910,159,230,71,335,105,0,10
,North Jeolla Jeongeup-si,Female,886,139,233,75,315,107,0,17
,North Jeolla Namwon-si,Total,"1,728",230,368,151,805,174,0,0
,North Jeolla Namwon-si,Male,903,109,203,81,423,87,0,0
,North Jeolla Namwon-si,Female,825,121,165,70,382,87,0,0
,North Jeolla Gimje-si,Total,"1,011",266,242,163,246,92,0,2
,North Jeolla Gimje-si,Male,502,117,120,80,141,43,0,1
,North Jeolla Gimje-si,Female,509,149,122,83,105,49,0,1
,North Jeolla Wanju-gun,Total,"1,867",314,483,152,659,191,0,68
,North Jeolla Wanju-gun,Male,932,135,244,78,334,109,0,32
,North Jeolla Wanju-gun,Female,935,179,239,74,325,82,0,36
,North Jeolla Jinan-gun,Total,206,83,0,123,0,0,0,0
,North Jeolla Jinan-gun,Male,104,44,0,60,0,0,0,0
,North Jeolla Jinan-gun,Female,102,39,0,63,0,0,0,0
,North Jeolla Muju-gun,Total,262,146,0,45,71,0,0,0
,North Jeolla Muju-gun,Male,126,75,0,25,26,0,0,0
,North Jeolla Muju-gun,Female,136,71,0,20,45,0,0,0
,North Jeolla Jangsu-gun,Total,267,99,148,0,0,20,0,0
,North Jeolla Jangsu-gun,Male,147,42,92,0,0,13,0,0
,North Jeolla Jangsu-gun,Female,120,57,56,0,0,7,0,0
,North Jeolla Imsil-gun,Total,365,0,24,313,0,0,0,28
,North Jeolla Imsil-gun,Male,191,0,14,167,0,0,0,10
,North Jeolla Imsil-gun,Female,174,0,10,146,0,0,0,18
,North Jeolla Sunchang-gun,Total,329,181,71,77,0,0,0,0
,North Jeolla Sunchang-gun,Male,156,78,34,44,0,0,0,0
,North Jeolla Sunchang-gun,Female,173,103,37,33,0,0,0,0
,North Jeolla Gochang-gun,Total,791,216,266,153,102,54,0,0
,North Jeolla Gochang-gun,Male,440,113,152,85,58,32,0,0
,North Jeolla Gochang-gun,Female,351,103,114,68,44,22,0,0
,North Jeolla Buan-gun,Total,622,129,0,82,377,30,0,4
,North Jeolla Buan-gun,Male,327,57,0,41,210,16,0,3
,North Jeolla Buan-gun,Female,295,72,0,41,167,14,0,1
South Jeolla,Total,Total,"38,927","8,497","7,269","1,859","15,184","4,029",52,"2,037"
,Total,Male,"20,125","4,473","3,824",933,"7,761","2,040",31,"1,063"
,Total,Female,"18,802","4,024","3,445",926,"7,423","1,989",21,974
,South Jeolla Mokpo-si,Total,"5,941",507,"1,012",0,"3,336",969,32,85
,South Jeolla Mokpo-si,Male,"3,123",277,549,0,"1,740",496,16,45
,South Jeolla Mokpo-si,Female,"2,818",230,463,0,"1,596",473,16,40
,South Jeolla Yeosu-si,Total,"6,003","1,084","1,293",205,"2,666",352,0,403
,South Jeolla Yeosu-si,Male,"3,095",581,656,107,"1,362",178,0,211
,South Jeolla Yeosu-si,Female,"2,908",503,637,98,"1,304",174,0,192
,South Jeolla Suncheon-si,Total,"7,275","1,148",506,206,"4,009","1,126",0,280
,South Jeolla Suncheon-si,Male,"3,738",621,254,109,"2,041",560,0,153
,South Jeolla Suncheon-si,Female,"3,537",527,252,97,"1,968",566,0,127
,South Jeolla Naju-si,Total,"3,178","1,046",294,0,788,483,0,567
,South Jeolla Naju-si,Male,"1,690",570,167,0,405,243,0,305
,South Jeolla Naju-si,Female,"1,488",476,127,0,383,240,0,262
,South Jeolla Gwangyang-si,Total,"4,842","1,490",485,60,"2,270",298,0,239
,South Jeolla Gwangyang-si,Male,"2,480",763,274,31,"1,150",146,0,116
,South Jeolla Gwangyang-si,Female,"2,362",727,211,29,"1,120",152,0,123
,South Jeolla Damyang-gun,Total,548,258,29,43,162,20,0,36
,South Jeolla Damyang-gun,Male,269,128,18,23,72,11,0,17
,South Jeolla Damyang-gun,Female,279,130,11,20,90,9,0,19
,South Jeolla Gokseong-gun,Total,273,199,32,42,0,0,0,0
,South Jeolla Gokseong-gun,Male,145,107,18,20,0,0,0,0
,South Jeolla Gokseong-gun,Female,128,92,14,22,0,0,0,0
,South Jeolla Gurye-gun,Total,263,144,0,75,28,16,0,0
,South Jeolla Gurye-gun,Male,126,71,0,33,13,9,0,0
,South Jeolla Gurye-gun,Female,137,73,0,42,15,7,0,0
,South Jeolla Goheung-gun,Total,731,148,254,127,182,20,0,0
,South Jeolla Goheung-gun,Male,345,60,129,63,82,11,0,0
,South Jeolla Goheung-gun,Female,386,88,125,64,100,9,0,0
,South Jeolla Boseong-gun,Total,466,242,138,19,61,6,0,0
,South Jeolla Boseong-gun,Male,236,129,67,9,27,4,0,0
,South Jeolla Boseong-gun,Female,230,113,71,10,34,2,0,0
,South Jeolla Hwasun-gun,Total,"1,047",371,272,36,212,156,0,0
,South Jeolla Hwasun-gun,Male,544,195,144,15,108,82,0,0
,South Jeolla Hwasun-gun,Female,503,176,128,21,104,74,0,0
,South Jeolla Jangheung-gun,Total,492,269,93,63,0,47,20,0
,South Jeolla Jangheung-gun,Male,260,141,45,37,0,22,15,0
,South Jeolla Jangheung-gun,Female,232,128,48,26,0,25,5,0
,South Jeolla Gangjin-gun,Total,544,20,265,162,97,0,0,0
,South Jeolla Gangjin-gun,Male,278,8,136,80,54,0,0,0
,South Jeolla Gangjin-gun,Female,266,12,129,82,43,0,0,0
,South Jeolla Haenam-gun,Total,952,126,380,101,345,0,0,0
,South Jeolla Haenam-gun,Male,500,64,200,48,188,0,0,0
,South Jeolla Haenam-gun,Female,452,62,180,53,157,0,0,0
,South Jeolla Yeongam-gun,Total,"1,129",200,522,127,148,70,0,62
,South Jeolla Yeongam-gun,Male,597,113,272,62,80,37,0,33
,South Jeolla Yeongam-gun,Female,532,87,250,65,68,33,0,29
,South Jeolla Muan-gun,Total,"1,927",387,285,109,658,307,0,181
,South Jeolla Muan-gun,Male,997,193,169,55,323,162,0,95
,South Jeolla Muan-gun,Female,930,194,116,54,335,145,0,86
,South Jeolla Hampyeong-gun,Total,392,86,289,0,0,17,0,0
,South Jeolla Hampyeong-gun,Male,220,44,163,0,0,13,0,0
,South Jeolla Hampyeong-gun,Female,172,42,126,0,0,4,0,0
,South Jeolla Yeongwang-gun,Total,979,275,338,184,29,40,0,113
,South Jeolla Yeongwang-gun,Male,476,144,163,84,14,18,0,53
,South Jeolla Yeongwang-gun,Female,503,131,175,100,15,22,0,60
,South Jeolla Jangseong-gun,Total,551,184,215,33,19,29,0,71
,South Jeolla Jangseong-gun,Male,287,98,112,17,8,17,0,35
,South Jeolla Jangseong-gun,Female,264,86,103,16,11,12,0,36
,South Jeolla Wando-gun,Total,787,189,225,159,174,40,0,0
,South Jeolla Wando-gun,Male,412,99,112,90,94,17,0,0
,South Jeolla Wando-gun,Female,375,90,113,69,80,23,0,0
,South Jeolla Jindo-gun,Total,389,69,179,108,0,33,0,0
,South Jeolla Jindo-gun,Male,196,40,92,50,0,14,0,0
,South Jeolla Jindo-gun,Female,193,29,87,58,0,19,0,0
,South Jeolla Sinan-gun,Total,218,55,163,0,0,0,0,0
,South Jeolla Sinan-gun,Male,111,27,84,0,0,0,0,0
,South Jeolla Sinan-gun,Female,107,28,79,0,0,0,0,0
North Gyeongsang,Total,Total,"48,988","7,856","3,920","1,218","26,054","6,952",46,"2,942"
,Total,Male,"25,407","4,011","2,140",645,"13,494","3,531",26,"1,560"
,Total,Female,"23,581","3,845","1,780",573,"12,560","3,421",20,"1,382"
,North Gyeongsang Pohang-si,Total,"9,739",785,620,24,"6,249","1,522",0,539
,North Gyeongsang Pohang-si,Male,"5,089",415,365,13,"3,245",772,0,279
,North Gyeongsang Pohang-si,Female,"4,650",370,255,11,"3,004",750,0,260
,North Gyeongsang Gyeongju-si,Total,"4,799",481,442,198,"2,700",614,0,364
,North Gyeongsang Gyeongju-si,Male,"2,487",254,252,104,"1,379",307,0,191
,North Gyeongsang Gyeongju-si,Female,"2,312",227,190,94,"1,321",307,0,173
,North Gyeongsang Gimcheon-si,Total,"2,566",394,349,0,"1,028",419,0,376
,North Gyeongsang Gimcheon-si,Male,"1,361",209,189,0,546,217,0,200
,North Gyeongsang Gimcheon-si,Female,"1,205",185,160,0,482,202,0,176
,North Gyeongsang Andong-si,Total,"2,823",526,293,84,"1,175",334,0,411
,North Gyeongsang Andong-si,Male,"1,479",285,152,47,584,188,0,223
,North Gyeongsang Andong-si,Female,"1,344",241,141,37,591,146,0,188
,North Gyeongsang Gumi-si,Total,"9,923",887,407,165,"5,530","2,400",46,488
,North Gyeongsang Gumi-si,Male,"5,145",417,238,81,"2,910","1,216",26,257
,North Gyeongsang Gumi-si,Female,"4,778",470,169,84,"2,620","1,184",20,231
,North Gyeongsang Yeongju-si,Total,"1,842",420,190,249,796,128,0,59
,North Gyeongsang Yeongju-si,Male,948,205,98,139,400,71,0,35
,North Gyeongsang Yeongju-si,Female,894,215,92,110,396,57,0,24
,North Gyeongsang Yeongcheon-si,Total,"1,735",453,226,0,847,134,0,75
,North Gyeongsang Yeongcheon-si,Male,895,227,126,0,435,71,0,36
,North Gyeongsang Yeongcheon-si,Female,840,226,100,0,412,63,0,39
,North Gyeongsang Sangju-si,Total,940,415,46,23,341,85,0,30
,North Gyeongsang Sangju-si,Male,501,232,23,16,176,40,0,14
,North Gyeongsang Sangju-si,Female,439,183,23,7,165,45,0,16
,North Gyeongsang Mungyeong-si,Total,"1,019",151,125,64,519,151,0,9
,North Gyeongsang Mungyeong-si,Male,518,80,63,28,267,77,0,3
,North Gyeongsang Mungyeong-si,Female,501,71,62,36,252,74,0,6
,North Gyeongsang Gyeongsan-si,Total,"5,772","1,006",493,149,"3,462",469,0,193
,North Gyeongsang Gyeongsan-si,Male,"2,967",511,252,79,"1,792",219,0,114
,North Gyeongsang Gyeongsan-si,Female,"2,805",495,241,70,"1,670",250,0,79
,North Gyeongsang Gunwi-gun,Total,147,41,92,0,14,0,0,0
,North Gyeongsang Gunwi-gun,Male,81,17,57,0,7,0,0,0
,North Gyeongsang Gunwi-gun,Female,66,24,35,0,7,0,0,0
,North Gyeongsang Uiseong-gun,Total,508,201,238,56,0,13,0,0
,North Gyeongsang Uiseong-gun,Male,255,97,118,33,0,7,0,0
,North Gyeongsang Uiseong-gun,Female,253,104,120,23,0,6,0,0
,North Gyeongsang Cheongsong-gun,Total,207,120,40,27,0,7,0,13
,North Gyeongsang Cheongsong-gun,Male,104,63,16,13,0,4,0,8
,North Gyeongsang Cheongsong-gun,Female,103,57,24,14,0,3,0,5
,North Gyeongsang Yeongyang-gun,Total,153,135,0,18,0,0,0,0
,North Gyeongsang Yeongyang-gun,Male,84,75,0,9,0,0,0,0
,North Gyeongsang Yeongyang-gun,Female,69,60,0,9,0,0,0,0
,North Gyeongsang Yeongdeok-gun,Total,455,164,0,0,291,0,0,0
,North Gyeongsang Yeongdeok-gun,Male,204,69,0,0,135,0,0,0
,North Gyeongsang Yeongdeok-gun,Female,251,95,0,0,156,0,0,0
,North Gyeongsang Cheongdo-gun,Total,274,169,42,0,52,11,0,0
,North Gyeongsang Cheongdo-gun,Male,139,88,23,0,23,5,0,0
,North Gyeongsang Cheongdo-gun,Female,135,81,19,0,29,6,0,0
,North Gyeongsang Goryeong-gun,Total,406,113,54,0,239,0,0,0
,North Gyeongsang Goryeong-gun,Male,209,51,24,0,134,0,0,0
,North Gyeongsang Goryeong-gun,Female,197,62,30,0,105,0,0,0
,North Gyeongsang Seongju-gun,Total,428,176,0,0,204,48,0,0
,North Gyeongsang Seongju-gun,Male,224,86,0,0,109,29,0,0
,North Gyeongsang Seongju-gun,Female,204,90,0,0,95,19,0,0
,North Gyeongsang Chilgok-gun,Total,"2,725",329,121,94,"1,846",322,0,13
,North Gyeongsang Chilgok-gun,Male,"1,430",172,74,55,961,163,0,5
,North Gyeongsang Chilgok-gun,Female,"1,295",157,47,39,885,159,0,8
,North Gyeongsang Yecheon-gun,Total,"1,231",333,121,33,457,247,0,40
,North Gyeongsang Yecheon-gun,Male,619,163,59,14,247,119,0,17
,North Gyeongsang Yecheon-gun,Female,612,170,62,19,210,128,0,23
,North Gyeongsang Bonghwa-gun,Total,241,124,21,21,43,32,0,0
,North Gyeongsang Bonghwa-gun,Male,121,67,11,7,18,18,0,0
,North Gyeongsang Bonghwa-gun,Female,120,57,10,14,25,14,0,0
,North Gyeongsang Uljin-gun,Total,"1,001",379,0,13,261,16,0,332
,North Gyeongsang Uljin-gun,Male,520,201,0,7,126,8,0,178
,North Gyeongsang Uljin-gun,Female,481,178,0,6,135,8,0,154
,North Gyeongsang Ulleung-gun,Total,54,54,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Male,27,27,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Female,27,27,0,0,0,0,0,0
South Gyeongsang,Total,Total,"68,841","14,747","3,841","1,688","33,063","12,563",100,"2,839"
,Total,Male,"35,816","7,683","2,002",876,"17,243","6,541",65,"1,406"
,Total,Female,"33,025","7,064","1,839",812,"15,820","6,022",35,"1,433"
,South Gyeongsang Changwon-si,Total,"21,411","4,456","1,069",529,"9,675","4,378",0,"1,304"
,South Gyeongsang Changwon-si,Male,"11,050","2,327",553,281,"5,005","2,253",0,631
,South Gyeongsang Changwon-si,Female,"10,361","2,129",516,248,"4,670","2,125",0,673
,South Gyeongsang Jinju-si,Total,"8,516","1,435",334,133,"4,976","1,128",0,510
,South Gyeongsang Jinju-si,Male,"4,445",744,174,69,"2,638",574,0,246
,South Gyeongsang Jinju-si,Female,"4,071",691,160,64,"2,338",554,0,264
,South Gyeongsang Tongyeong-si,Total,"2,307",774,133,0,"1,161",162,0,77
,South Gyeongsang Tongyeong-si,Male,"1,153",409,61,0,560,88,0,35
,South Gyeongsang Tongyeong-si,Female,"1,154",365,72,0,601,74,0,42
,South Gyeongsang Sacheon-si,Total,"2,957",826,119,147,"1,402",216,0,247
,South Gyeongsang Sacheon-si,Male,"1,536",434,62,74,720,123,0,123
,South Gyeongsang Sacheon-si,Female,"1,421",392,57,73,682,93,0,124
,South Gyeongsang Gimhae-si,Total,"12,621","2,810",369,71,"6,329","2,952",0,90
,South Gyeongsang Gimhae-si,Male,"6,698","1,449",211,38,"3,374","1,576",0,50
,South Gyeongsang Gimhae-si,Female,"5,923","1,361",158,33,"2,955","1,376",0,40
,South Gyeongsang Miryang-si,Total,"1,575",306,397,28,599,200,0,45
,South Gyeongsang Miryang-si,Male,796,165,198,16,288,108,0,21
,South Gyeongsang Miryang-si,Female,779,141,199,12,311,92,0,24
,South Gyeongsang Geoje-si,Total,"5,518","1,033",207,0,"2,745","1,216",17,300
,South Gyeongsang Geoje-si,Male,"2,922",552,92,0,"1,476",636,9,157
,South Gyeongsang Geoje-si,Female,"2,596",481,115,0,"1,269",580,8,143
,South Gyeongsang Yangsan-si,Total,"8,254","1,075",646,139,"4,126","2,013",83,172
,South Gyeongsang Yangsan-si,Male,"4,314",578,348,65,"2,140","1,037",56,90
,South Gyeongsang Yangsan-si,Female,"3,940",497,298,74,"1,986",976,27,82
,South Gyeongsang Uiryeong-gun,Total,185,110,0,58,17,0,0,0
,South Gyeongsang Uiryeong-gun,Male,89,49,0,28,12,0,0,0
,South Gyeongsang Uiryeong-gun,Female,96,61,0,30,5,0,0,0
,South Gyeongsang Haman-gun,Total,948,276,156,0,320,135,0,61
,South Gyeongsang Haman-gun,Male,493,128,87,0,175,68,0,35
,South Gyeongsang Haman-gun,Female,455,148,69,0,145,67,0,26
,South Gyeongsang Changnyeong-gun,Total,907,295,167,77,342,0,0,26
,South Gyeongsang Changnyeong-gun,Male,478,164,87,43,170,0,0,14
,South Gyeongsang Changnyeong-gun,Female,429,131,80,34,172,0,0,12
,South Gyeongsang Goseong-gun,Total,685,161,71,71,363,19,0,0
,South Gyeongsang Goseong-gun,Male,368,88,40,36,197,7,0,0
,South Gyeongsang Goseong-gun,Female,317,73,31,35,166,12,0,0
,South Gyeongsang Namhae-gun,Total,441,145,0,190,106,0,0,0
,South Gyeongsang Namhae-gun,Male,214,73,0,92,49,0,0,0
,South Gyeongsang Namhae-gun,Female,227,72,0,98,57,0,0,0
,South Gyeongsang Hadong-gun,Total,440,193,0,81,159,0,0,7
,South Gyeongsang Hadong-gun,Male,212,85,0,50,73,0,0,4
,South Gyeongsang Hadong-gun,Female,228,108,0,31,86,0,0,3
,South Gyeongsang Sancheong-gun,Total,277,240,0,37,0,0,0,0
,South Gyeongsang Sancheong-gun,Male,127,105,0,22,0,0,0,0
