Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Total,Male,"202,162 ","21,430 ","2,509 ","4,342 ","107,340 ","59,151 ",833 ,"6,557 "
,Gyeonggi Total,Female,"188,708 ","19,815 ","2,210 ","3,908 ","100,344 ","55,642 ",731 ,"6,058 "
,Gyeonggi Goyang-si,Total,"27,618 ","3,149 ",202 ,223 ,"13,197 ","9,491 ",232 ,"1,124 "
,Gyeonggi Goyang-si,Male,"14,275 ","1,619 ",109 ,120 ,"6,837 ","4,878 ",120 ,592 
,Gyeonggi Goyang-si,Female,"13,343 ","1,530 ",93 ,103 ,"6,360 ","4,613 ",112 ,532 
,Gyeonggi Uijeongbu-si,Total,"13,307 ","1,030 ",52 ,202 ,"7,196 ","4,505 ",18 ,304 
,Gyeonggi Uijeongbu-si,Male,"6,873 ",540 ,24 ,105 ,"3,672 ","2,367 ",9 ,156 
,Gyeonggi Uijeongbu-si,Female,"6,434 ",490 ,28 ,97 ,"3,524 ","2,138 ",9 ,148 
,Gyeonggi Namyangju-si,Total,"22,247 ","1,705 ",165 ,931 ,"12,854 ","6,521 ",23 ,48 
,Gyeonggi Namyangju-si,Male,"11,603 ",905 ,86 ,470 ,"6,698 ","3,407 ",10 ,27 
,Gyeonggi Namyangju-si,Female,"10,644 ",800 ,79 ,461 ,"6,156 ","3,114 ",13 ,21 
,Gyeonggi Paju-si,Total,"14,525 ",813 ,286 ,39 ,"7,748 ","4,998 ",32 ,609 
,Gyeonggi Paju-si,Male,"7,467 ",420 ,142 ,16 ,"4,050 ","2,509 ",14 ,316 
,Gyeonggi Paju-si,Female,"7,058 ",393 ,144 ,23 ,"3,698 ","2,489 ",18 ,293 
,Gyeonggi Guri-si,Total,"4,913 ",584 ,0 ,165 ,"2,300 ","1,802 ",0 ,62 
,Gyeonggi Guri-si,Male,"2,572 ",311 ,0 ,95 ,"1,169 ",964 ,0 ,33 
,Gyeonggi Guri-si,Female,"2,341 ",273 ,0 ,70 ,"1,131 ",838 ,0 ,29 
,Gyeonggi Pocheon-si,Total,"4,785 ",759 ,0 ,111 ,"2,970 ",692 ,0 ,253 
,Gyeonggi Pocheon-si,Male,"2,523 ",368 ,0 ,63 ,"1,598 ",358 ,0 ,136 
,Gyeonggi Pocheon-si,Female,"2,262 ",391 ,0 ,48 ,"1,372 ",334 ,0 ,117 
,Gyeonggi Yangju-si,Total,"7,673 ",912 ,0 ,72 ,"4,522 ","2,089 ",0 ,78 
,Gyeonggi Yangju-si,Male,"3,935 ",463 ,0 ,38 ,"2,354 ","1,044 ",0 ,36 
,Gyeonggi Yangju-si,Female,"3,738 ",449 ,0 ,34 ,"2,168 ","1,045 ",0 ,42 
,Gyeonggi Dongducheon-si,Total,"3,583 ",490 ,34 ,83 ,"2,005 ",971 ,0 ,0 
,Gyeonggi Dongducheon-si,Male,"1,862 ",261 ,22 ,45 ,"1,040 ",494 ,0 ,0 
,Gyeonggi Dongducheon-si,Female,"1,721 ",229 ,12 ,38 ,965 ,477 ,0 ,0 
,Gyeonggi Gapyeong-gun,Total,"1,579 ",282 ,50 ,83 ,924 ,174 ,0 ,66 
,Gyeonggi Gapyeong-gun,Male,759 ,135 ,22 ,38 ,441 ,89 ,0 ,34 
,Gyeonggi Gapyeong-gun,Female,820 ,147 ,28 ,45 ,483 ,85 ,0 ,32 
,Gyeonggi Yeoncheon-gun,Total,"1,181 ",339 ,94 ,36 ,399 ,188 ,0 ,125 
,Gyeonggi Yeoncheon-gun,Male,592 ,167 ,48 ,17 ,196 ,91 ,0 ,73 
,Gyeonggi Yeoncheon-gun,Female,589 ,172 ,46 ,19 ,203 ,97 ,0 ,52 
,Gyeonggi Suwon-si,Total,"34,454 ","2,727 ",240 ,485 ,"16,894 ","12,077 ",74 ,"1,957 "
,Gyeonggi Suwon-si,Male,"17,976 ","1,429 ",120 ,250 ,"8,813 ","6,291 ",51 ,"1,022 "
,Gyeonggi Suwon-si,Female,"16,478 ","1,298 ",120 ,235 ,"8,081 ","5,786 ",23 ,935 
,Gyeonggi Seongnam-si,Total,"23,623 ","5,166 ",70 ,739 ,"8,260 ","6,863 ",131 ,"2,394 "
,Gyeonggi Seongnam-si,Male,"12,218 ","2,774 ",36 ,394 ,"4,260 ","3,471 ",62 ,"1,221 "
,Gyeonggi Seongnam-si,Female,"11,405 ","2,392 ",34 ,345 ,"4,000 ","3,392 ",69 ,"1,173 "
,Gyeonggi Anyang-si,Total,"16,155 ","2,333 ",102 ,49 ,"7,862 ","5,407 ",44 ,358 
,Gyeonggi Anyang-si,Male,"8,311 ","1,214 ",57 ,26 ,"4,049 ","2,766 ",23 ,176 
,Gyeonggi Anyang-si,Female,"7,844 ","1,119 ",45 ,23 ,"3,813 ","2,641 ",21 ,182 
,Gyeonggi Bucheon-si,Total,"20,588 ","1,753 ",197 ,967 ,"12,164 ","5,080 ",78 ,349 
,Gyeonggi Bucheon-si,Male,"10,651 ",937 ,114 ,513 ,"6,248 ","2,616 ",44 ,179 
,Gyeonggi Bucheon-si,Female,"9,937 ",816 ,83 ,454 ,"5,916 ","2,464 ",34 ,170 
,Gyeonggi Gwangmyeong-si,Total,"10,204 ","1,796 ",134 ,233 ,"4,524 ","3,280 ",64 ,173 
,Gyeonggi Gwangmyeong-si,Male,"5,216 ",910 ,71 ,109 ,"2,318 ","1,680 ",41 ,87 
,Gyeonggi Gwangmyeong-si,Female,"4,988 ",886 ,63 ,124 ,"2,206 ","1,600 ",23 ,86 
,Gyeonggi Pyeongtaek-si,Total,"14,983 ","1,204 ",246 ,398 ,"9,316 ","3,256 ",27 ,536 
,Gyeonggi Pyeongtaek-si,Male,"7,726 ",629 ,127 ,202 ,"4,804 ","1,666 ",15 ,283 
,Gyeonggi Pyeongtaek-si,Female,"7,257 ",575 ,119 ,196 ,"4,512 ","1,590 ",12 ,253 
,Gyeonggi Ansan-si,Total,"20,495 ","1,848 ",0 ,344 ,"12,579 ","5,275 ",78 ,371 
,Gyeonggi Ansan-si,Male,"10,398 ",903 ,0 ,176 ,"6,426 ","2,659 ",42 ,192 
,Gyeonggi Ansan-si,Female,"10,097 ",945 ,0 ,168 ,"6,153 ","2,616 ",36 ,179 
,Gyeonggi Gwacheon-si,Total,"2,262 ",604 ,75 ,0 ,445 ,331 ,161 ,646 
,Gyeonggi Gwacheon-si,Male,"1,199 ",325 ,38 ,0 ,226 ,174 ,88 ,348 
,Gyeonggi Gwacheon-si,Female,"1,063 ",279 ,37 ,0 ,219 ,157 ,73 ,298 
,Gyeonggi Osan-si,Total,"8,140 ","1,859 ",43 ,126 ,"3,405 ","2,587 ",0 ,120 
,Gyeonggi Osan-si,Male,"4,241 ",997 ,30 ,73 ,"1,733 ","1,341 ",0 ,67 
,Gyeonggi Osan-si,Female,"3,899 ",862 ,13 ,53 ,"1,672 ","1,246 ",0 ,53 
,Gyeonggi Siheung-si,Total,"13,722 ","1,345 ",341 ,42 ,"8,480 ","3,443 ",0 ,71 
,Gyeonggi Siheung-si,Male,"7,152 ",695 ,173 ,21 ,"4,409 ","1,811 ",0 ,43 
,Gyeonggi Siheung-si,Female,"6,570 ",650 ,168 ,21 ,"4,071 ","1,632 ",0 ,28 
,Gyeonggi Gunpo-si,Total,"8,450 ","1,196 ",46 ,133 ,"4,157 ","2,622 ",79 ,217 
,Gyeonggi Gunpo-si,Male,"4,345 ",635 ,20 ,67 ,"2,113 ","1,350 ",40 ,120 
,Gyeonggi Gunpo-si,Female,"4,105 ",561 ,26 ,66 ,"2,044 ","1,272 ",39 ,97 
,Gyeonggi Uiwang-si,Total,"4,974 ",748 ,369 ,419 ,"1,791 ","1,457 ",105 ,85 
,Gyeonggi Uiwang-si,Male,"2,585 ",384 ,184 ,245 ,924 ,748 ,56 ,44 
,Gyeonggi Uiwang-si,Female,"2,389 ",364 ,185 ,174 ,867 ,709 ,49 ,41 
,Gyeonggi Hanam-si,Total,"6,867 ",559 ,0 ,50 ,"4,003 ","2,011 ",213 ,31 
,Gyeonggi Hanam-si,Male,"3,593 ",297 ,0 ,22 ,"2,086 ","1,065 ",105 ,18 
,Gyeonggi Hanam-si,Female,"3,274 ",262 ,0 ,28 ,"1,917 ",946 ,108 ,13 
,Gyeonggi Yongin-si,Total,"33,910 ","2,047 ",423 ,"1,184 ","18,369 ","10,481 ",127 ,"1,279 "
,Gyeonggi Yongin-si,Male,"17,490 ","1,035 ",227 ,653 ,"9,423 ","5,410 ",66 ,676 
,Gyeonggi Yongin-si,Female,"16,420 ","1,012 ",196 ,531 ,"8,946 ","5,071 ",61 ,603 
,Gyeonggi Icheon-si,Total,"8,140 ",735 ,0 ,56 ,"6,140 ",886 ,20 ,303 
,Gyeonggi Icheon-si,Male,"4,238 ",359 ,0 ,30 ,"3,228 ",464 ,14 ,143 
,Gyeonggi Icheon-si,Female,"3,902 ",376 ,0 ,26 ,"2,912 ",422 ,6 ,160 
,Gyeonggi Anseong-si,Total,"6,956 ",531 ,195 ,214 ,"4,020 ","1,832 ",0 ,164 
,Gyeonggi Anseong-si,Male,"3,627 ",278 ,98 ,111 ,"2,123 ",938 ,0 ,79 
,Gyeonggi Anseong-si,Female,"3,329 ",253 ,97 ,103 ,"1,897 ",894 ,0 ,85 
,Gyeonggi Gimpo-si,Total,"12,311 ","1,254 ",542 ,0 ,"5,833 ","4,527 ",14 ,141 
,Gyeonggi Gimpo-si,Male,"6,347 ",657 ,313 ,0 ,"2,977 ","2,325 ",10 ,65 
,Gyeonggi Gimpo-si,Female,"5,964 ",597 ,229 ,0 ,"2,856 ","2,202 ",4 ,76 
,Gyeonggi Hwaseong-si,Total,"23,545 ","1,776 ",551 ,293 ,"11,860 ","8,494 ",0 ,571 
,Gyeonggi Hwaseong-si,Male,"12,189 ",918 ,301 ,138 ,"6,162 ","4,376 ",0 ,294 
,Gyeonggi Hwaseong-si,Female,"11,356 ",858 ,250 ,155 ,"5,698 ","4,118 ",0 ,277 
,Gyeonggi Gwangju-si,Total,"13,735 ",882 ,56 ,395 ,"9,373 ","2,899 ",44 ,86 
,Gyeonggi Gwangju-si,Male,"7,100 ",441 ,28 ,213 ,"4,834 ","1,511 ",23 ,50 
,Gyeonggi Gwangju-si,Female,"6,635 ",441 ,28 ,182 ,"4,539 ","1,388 ",21 ,36 
,Gyeonggi Yeoju-si,Total,"3,119 ",79 ,157 ,40 ,"2,409 ",389 ,0 ,45 
,Gyeonggi Yeoju-si,Male,"1,650 ",35 ,91 ,24 ,"1,262 ",217 ,0 ,21 
,Gyeonggi Yeoju-si,Female,"1,469 ",44 ,66 ,16 ,"1,147 ",172 ,0 ,24 
,Gyeonggi Yangpyeong-gun,Total,"2,826 ",740 ,49 ,138 ,"1,685 ",165 ,0 ,49 
,Gyeonggi Yangpyeong-gun,Male,"1,449 ",389 ,28 ,68 ,867 ,71 ,0 ,26 
,Gyeonggi Yangpyeong-gun,Female,"1,377 ",351 ,21 ,70 ,818 ,94 ,0 ,23 
Gangwon,Gangwon Total,Total,"41,743 ","5,477 ","6,553 ","1,946 ","18,122 ","7,688 ",86 ,"1,871 "
,Gangwon Total,Male,"21,451 ","2,825 ","3,324 ",998 ,"9,366 ","3,915 ",44 ,979 
,Gangwon Total,Female,"20,292 ","2,652 ","3,229 ",948 ,"8,756 ","3,773 ",42 ,892 
,Gangwon Chuncheon-si,Total,"8,657 ",841 ,"1,092 ",527 ,"3,602 ","2,142 ",36 ,417 
,Gangwon Chuncheon-si,Male,"4,483 ",443 ,566 ,276 ,"1,868 ","1,090 ",18 ,222 
,Gangwon Chuncheon-si,Female,"4,174 ",398 ,526 ,251 ,"1,734 ","1,052 ",18 ,195 
,Gangwon Wonju-si,Total,"10,081 ","1,261 ",714 ,321 ,"4,314 ","2,993 ",27 ,451 
,Gangwon Wonju-si,Male,"5,170 ",654 ,368 ,165 ,"2,234 ","1,497 ",14 ,238 
,Gangwon Wonju-si,Female,"4,911 ",607 ,346 ,156 ,"2,080 ","1,496 ",13 ,213 
,Gangwon Gangneung-si,Total,"5,681 ",211 ,"1,018 ",94 ,"3,467 ",724 ,23 ,144 
,Gangwon Gangneung-si,Male,"2,961 ",111 ,536 ,46 ,"1,802 ",375 ,12 ,79 
,Gangwon Gangneung-si,Female,"2,720 ",100 ,482 ,48 ,"1,665 ",349 ,11 ,65 
,Gangwon Donghae-si,Total,"2,627 ",144 ,546 ,137 ,"1,128 ",612 ,0 ,60 
,Gangwon Donghae-si,Male,"1,381 ",83 ,299 ,70 ,588 ,311 ,0 ,30 
,Gangwon Donghae-si,Female,"1,246 ",61 ,247 ,67 ,540 ,301 ,0 ,30 
,Gangwon Taebaek-si,Total,"1,328 ",591 ,163 ,68 ,266 ,90 ,0 ,150 
,Gangwon Taebaek-si,Male,671 ,307 ,78 ,26 ,148 ,46 ,0 ,66 
,Gangwon Taebaek-si,Female,657 ,284 ,85 ,42 ,118 ,44 ,0 ,84 
,Gangwon Sokcho-si,Total,"2,657 ",233 ,518 ,120 ,"1,321 ",399 ,0 ,66 
,Gangwon Sokcho-si,Male,"1,312 ",112 ,244 ,61 ,650 ,214 ,0 ,31 
,Gangwon Sokcho-si,Female,"1,345 ",121 ,274 ,59 ,671 ,185 ,0 ,35 
,Gangwon Samcheok-si,Total,"1,422 ",329 ,141 ,14 ,641 ,276 ,0 ,21 
,Gangwon Samcheok-si,Male,720 ,175 ,69 ,6 ,313 ,144 ,0 ,13 
,Gangwon Samcheok-si,Female,702 ,154 ,72 ,8 ,328 ,132 ,0 ,8 
,Gangwon Hongcheon-gun,Total,"1,549 ",120 ,261 ,116 ,832 ,94 ,0 ,126 
,Gangwon Hongcheon-gun,Male,770 ,56 ,131 ,59 ,412 ,51 ,0 ,61 
,Gangwon Hongcheon-gun,Female,779 ,64 ,130 ,57 ,420 ,43 ,0 ,65 
,Gangwon Hoengseong-gun,Total,907 ,90 ,381 ,47 ,255 ,101 ,0 ,33 
,Gangwon Hoengseong-gun,Male,465 ,45 ,196 ,23 ,133 ,53 ,0 ,15 
,Gangwon Hoengseong-gun,Female,442 ,45 ,185 ,24 ,122 ,48 ,0 ,18 
,Gangwon Yeongwol-gun,Total,619 ,99 ,270 ,123 ,87 ,40 ,0 ,0 
,Gangwon Yeongwol-gun,Male,332 ,52 ,149 ,66 ,46 ,19 ,0 ,0 
,Gangwon Yeongwol-gun,Female,287 ,47 ,121 ,57 ,41 ,21 ,0 ,0 
,Gangwon Pyongchang-gun,Total,732 ,113 ,181 ,79 ,343 ,16 ,0 ,0 
,Gangwon Pyongchang-gun,Male,370 ,58 ,77 ,42 ,185 ,8 ,0 ,0 
,Gangwon Pyongchang-gun,Female,362 ,55 ,104 ,37 ,158 ,8 ,0 ,0 
,Gangwon Jeongseon-gun,Total,663 ,266 ,379 ,0 ,0 ,18 ,0 ,0 
,Gangwon Jeongseon-gun,Male,318 ,131 ,181 ,0 ,0 ,6 ,0 ,0 
,Gangwon Jeongseon-gun,Female,345 ,135 ,198 ,0 ,0 ,12 ,0 ,0 
,Gangwon Cheolwon-gun,Total,"1,490 ",147 ,121 ,65 ,"1,004 ",31 ,0 ,122 
,Gangwon Cheolwon-gun,Male,771 ,75 ,49 ,37 ,528 ,18 ,0 ,64 
,Gangwon Cheolwon-gun,Female,719 ,72 ,72 ,28 ,476 ,13 ,0 ,58 
,Gangwon Hwacheon-gun,Total,730 ,266 ,113 ,0 ,310 ,20 ,0 ,21 
,Gangwon Hwacheon-gun,Male,370 ,126 ,54 ,0 ,173 ,7 ,0 ,10 
,Gangwon Hwacheon-gun,Female,360 ,140 ,59 ,0 ,137 ,13 ,0 ,11 
,Gangwon Yanggu-gun,Total,749 ,76 ,353 ,76 ,142 ,7 ,0 ,95 
,Gangwon Yanggu-gun,Male,376 ,39 ,169 ,43 ,69 ,4 ,0 ,52 
,Gangwon Yanggu-gun,Female,373 ,37 ,184 ,33 ,73 ,3 ,0 ,43 
,Gangwon Inje-gun,Total,842 ,249 ,141 ,93 ,120 ,74 ,0 ,165 
,Gangwon Inje-gun,Male,441 ,121 ,73 ,45 ,63 ,41 ,0 ,98 
,Gangwon Inje-gun,Female,401 ,128 ,68 ,48 ,57 ,33 ,0 ,67 
,Gangwon Goseong-gun,Total,553 ,326 ,0 ,0 ,208 ,19 ,0 ,0 
,Gangwon Goseong-gun,Male,291 ,171 ,0 ,0 ,109 ,11 ,0 ,0 
,Gangwon Goseong-gun,Female,262 ,155 ,0 ,0 ,99 ,8 ,0 ,0 
,Gangwon Yangyang-gun,Total,456 ,115 ,161 ,66 ,82 ,32 ,0 ,0 
,Gangwon Yangyang-gun,Male,249 ,66 ,85 ,33 ,45 ,20 ,0 ,0 
,Gangwon Yangyang-gun,Female,207 ,49 ,76 ,33 ,37 ,12 ,0 ,0 
North Chuncheong,North Chungcheong Total,Total,"50,014 ","3,879 ","7,820 ","2,186 ","26,279 ","8,123 ",153 ,"1,574 "
,North Chungcheong Total,Male,"25,641 ","1,990 ","4,061 ","1,121 ","13,469 ","4,111 ",59 ,830 
,North Chungcheong Total,Female,"24,373 ","1,889 ","3,759 ","1,065 ","12,810 ","4,012 ",94 ,744 
,North Chungcheong Cheongju-si,Total,"30,305 ","1,218 ","3,139 ",800 ,"17,401 ","6,526 ",18 ,"1,203 "
,North Chungcheong Cheongju-si,Male,"15,569 ",608 ,"1,638 ",411 ,"8,968 ","3,292 ",5 ,647 
,North Chungcheong Cheongju-si,Female,"14,736 ",610 ,"1,501 ",389 ,"8,433 ","3,234 ",13 ,556 
,North Chungcheong Chungju-si,Total,"5,723 ",388 ,"1,199 ",185 ,"3,322 ",586 ,20 ,23 
,North Chungcheong Chungju-si,Male,"2,896 ",197 ,617 ,89 ,"1,666 ",302 ,11 ,14 
,North Chungcheong Chungju-si,Female,"2,827 ",191 ,582 ,96 ,"1,656 ",284 ,9 ,9 
,North Chungcheong Jecheon-si,Total,"3,180 ",555 ,559 ,369 ,"1,354 ",243 ,0 ,100 
,North Chungcheong Jecheon-si,Male,"1,598 ",286 ,301 ,177 ,669 ,120 ,0 ,45 
,North Chungcheong Jecheon-si,Female,"1,582 ",269 ,258 ,192 ,685 ,123 ,0 ,55 
,North Chungcheong Cheongwon-gun,Total,,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Cheongwon-gun,Male,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Cheongwon-gun,Female,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Boeun-gun,Total,508 ,90 ,156 ,0 ,223 ,39 ,0 ,0 
,North Chungcheong Boeun-gun,Male,258 ,45 ,76 ,0 ,121 ,16 ,0 ,0 
,North Chungcheong Boeun-gun,Female,250 ,45 ,80 ,0 ,102 ,23 ,0 ,0 
,North Chungcheong Okcheon-gun,Total,969 ,215 ,134 ,51 ,463 ,68 ,19 ,19 
,North Chungcheong Okcheon-gun,Male,521 ,113 ,80 ,31 ,241 ,35 ,8 ,13 
,North Chungcheong Okcheon-gun,Female,448 ,102 ,54 ,20 ,222 ,33 ,11 ,6 
,North Chungcheong Yeongdong-gun,Total,855 ,106 ,419 ,35 ,229 ,20 ,23 ,23 
,North Chungcheong Yeongdong-gun,Male,450 ,49 ,227 ,26 ,120 ,13 ,5 ,10 
,North Chungcheong Yeongdong-gun,Female,405 ,57 ,192 ,9 ,109 ,7 ,18 ,13 
,North Chungcheong Jincheon-gun,Total,"2,676 ",367 ,506 ,309 ,"1,157 ",240 ,0 ,97 
,North Chungcheong Jincheon-gun,Male,"1,381 ",198 ,256 ,148 ,606 ,127 ,0 ,46 
,North Chungcheong Jincheon-gun,Female,"1,295 ",169 ,250 ,161 ,551 ,113 ,0 ,51 
,North Chungcheong Goesan-gun,Total,589 ,112 ,264 ,136 ,0 ,26 ,0 ,51 
,North Chungcheong Goesan-gun,Male,291 ,56 ,126 ,73 ,0 ,11 ,0 ,25 
,North Chungcheong Goesan-gun,Female,298 ,56 ,138 ,63 ,0 ,15 ,0 ,26 
,North Chungcheong Eumseong-gun,Total,"3,026 ",495 ,884 ,174 ,"1,061 ",316 ,73 ,23 
,North Chungcheong Eumseong-gun,Male,"1,569 ",255 ,451 ,102 ,550 ,169 ,30 ,12 
,North Chungcheong Eumseong-gun,Female,"1,457 ",240 ,433 ,72 ,511 ,147 ,43 ,11 
,North Chungcheong Jeungpyong-gun,Total,"1,572 ",99 ,310 ,0 ,"1,069 ",59 ,0 ,35 
,North Chungcheong Jeungpyong-gun,Male,781 ,57 ,152 ,0 ,528 ,26 ,0 ,18 
,North Chungcheong Jeungpyong-gun,Female,791 ,42 ,158 ,0 ,541 ,33 ,0 ,17 
,North Chungcheong Danyang-gun,Total,611 ,234 ,250 ,127 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Male,327 ,126 ,137 ,64 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Female,284 ,108 ,113 ,63 ,0 ,0 ,0 ,0 
South Chungcheong,South Chungcheong Total,Total,"69,364 ","3,782 ","7,659 ","2,598 ","36,910 ","16,003 ",32 ,"2,380 "
,South Chungcheong Total,Male,"35,849 ","1,957 ","3,985 ","1,361 ","19,123 ","8,211 ",16 ,"1,196 "
,South Chungcheong Total,Female,"33,515 ","1,825 ","3,674 ","1,237 ","17,787 ","7,792 ",16 ,"1,184 "
,South Chungcheong Cheonan-si,Total,"20,819 ","1,015 ",574 ,485 ,"11,487 ","6,783 ",32 ,443 
,South Chungcheong Cheonan-si,Male,"10,693 ",515 ,304 ,262 ,"5,910 ","3,462 ",16 ,224 
,South Chungcheong Cheonan-si,Female,"10,126 ",500 ,270 ,223 ,"5,577 ","3,321 ",16 ,219 
,South Chungcheong Gongju-si,Total,"2,600 ",336 ,293 ,228 ,"1,236 ",471 ,0 ,36 
,South Chungcheong Gongju-si,Male,"1,335 ",196 ,145 ,117 ,623 ,237 ,0 ,17 
,South Chungcheong Gongju-si,Female,"1,265 ",140 ,148 ,111 ,613 ,234 ,0 ,19 
,South Chungcheong Boryeong-si,Total,"2,519 ",215 ,406 ,170 ,"1,296 ",325 ,0 ,107 
,South Chungcheong Boryeong-si,Male,"1,286 ",114 ,204 ,101 ,656 ,160 ,0 ,51 
,South Chungcheong Boryeong-si,Female,"1,233 ",101 ,202 ,69 ,640 ,165 ,0 ,56 
,South Chungcheong Asan-si,Total,"14,978 ",525 ,782 ,115 ,"8,515 ","4,473 ",0 ,568 
,South Chungcheong Asan-si,Male,"7,807 ",275 ,437 ,63 ,"4,411 ","2,339 ",0 ,282 
,South Chungcheong Asan-si,Female,"7,171 ",250 ,345 ,52 ,"4,104 ","2,134 ",0 ,286 
,South Chungcheong Seosan-si,Total,"6,218 ",92 ,741 ,303 ,"3,759 ","1,064 ",0 ,259 
,South Chungcheong Seosan-si,Male,"3,236 ",45 ,384 ,170 ,"1,941 ",543 ,0 ,153 
,South Chungcheong Seosan-si,Female,"2,982 ",47 ,357 ,133 ,"1,818 ",521 ,0 ,106 
,South Chungcheong Nonsan-si,Total,"3,704 ",229 ,635 ,393 ,"1,827 ",589 ,0 ,31 
,South Chungcheong Nonsan-si,Male,"1,891 ",120 ,332 ,191 ,944 ,290 ,0 ,14 
,South Chungcheong Nonsan-si,Female,"1,813 ",109 ,303 ,202 ,883 ,299 ,0 ,17 
,South Chungcheong Gyerong-si,Total,"1,377 ",56 ,223 ,23 ,507 ,421 ,0 ,147 
,South Chungcheong Gyerong-si,Male,696 ,26 ,111 ,12 ,265 ,207 ,0 ,75 
,South Chungcheong Gyerong-si,Female,681 ,30 ,112 ,11 ,242 ,214 ,0 ,72 
,South Chungcheong Geumsan-gun,Total,"1,259 ",255 ,217 ,83 ,584 ,39 ,0 ,81 
,South Chungcheong Geumsan-gun,Male,654 ,127 ,115 ,42 ,321 ,16 ,0 ,33 
,South Chungcheong Geumsan-gun,Female,605 ,128 ,102 ,41 ,263 ,23 ,0 ,48 
,South Chungcheong Buyeo-gun,Total,"1,268 ",13 ,720 ,61 ,298 ,176 ,0 ,0 
,South Chungcheong Buyeo-gun,Male,668 ,5 ,368 ,32 ,160 ,103 ,0 ,0 
,South Chungcheong Buyeo-gun,Female,600 ,8 ,352 ,29 ,138 ,73 ,0 ,0 
,South Chungcheong Seocheon-gun,Total,"1,173 ",195 ,515 ,156 ,278 ,29 ,0 ,0 
,South Chungcheong Seocheon-gun,Male,590 ,86 ,256 ,84 ,148 ,16 ,0 ,0 
,South Chungcheong Seocheon-gun,Female,583 ,109 ,259 ,72 ,130 ,13 ,0 ,0 
,South Chungcheong Cheongyang-gun,Total,500 ,62 ,151 ,0 ,223 ,64 ,0 ,0 
,South Chungcheong Cheongyang-gun,Male,263 ,35 ,84 ,0 ,113 ,31 ,0 ,0 
,South Chungcheong Cheongyang-gun,Female,237 ,27 ,67 ,0 ,110 ,33 ,0 ,0 
,South Chungcheong Hongseong-gun,Total,"2,604 ",252 ,681 ,53 ,"1,175 ",280 ,0 ,163 
,South Chungcheong Hongseong-gun,Male,"1,362 ",136 ,341 ,29 ,637 ,145 ,0 ,74 
,South Chungcheong Hongseong-gun,Female,"1,242 ",116 ,340 ,24 ,538 ,135 ,0 ,89 
,South Chungcheong Yesan-gun,Total,"1,488 ",61 ,548 ,105 ,576 ,127 ,0 ,71 
,South Chungcheong Yesan-gun,Male,780 ,33 ,282 ,54 ,300 ,71 ,0 ,40 
,South Chungcheong Yesan-gun,Female,708 ,28 ,266 ,51 ,276 ,56 ,0 ,31 
,South Chungcheong Taean-gun,Total,"1,357 ",48 ,434 ,62 ,599 ,39 ,0 ,175 
,South Chungcheong Taean-gun,Male,688 ,24 ,235 ,26 ,293 ,16 ,0 ,94 
,South Chungcheong Taean-gun,Female,669 ,24 ,199 ,36 ,306 ,23 ,0 ,81 
,South Chungcheong Dangjin-si,Total,"7,500 ",428 ,739 ,361 ,"4,550 ","1,123 ",0 ,299 
,South Chungcheong Dangjin-si,Male,"3,900 ",220 ,387 ,178 ,"2,401 ",575 ,0 ,139 
,South Chungcheong Dangjin-si,Female,"3,600 ",208 ,352 ,183 ,"2,149 ",548 ,0 ,160 
North Jeolla,North Jeolla Total,Total,"53,798 ","3,017 ","8,842 ","5,036 ","25,201 ","10,866 ",0 ,836 
,North Jeolla Total,Male,"27,914 ","1,575 ","4,664 ","2,664 ","12,956 ","5,624 ",0 ,431 
,North Jeolla Total,Female,"25,884 ","1,442 ","4,178 ","2,372 ","12,245 ","5,242 ",0 ,405 
,North Jeolla Jeonju-si,Total,"20,997 ",443 ,"2,889 ",942 ,"10,510 ","5,733 ",0 ,480 
,North Jeolla Jeonju-si,Male,"10,836 ",222 ,"1,519 ",502 ,"5,403 ","2,945 ",0 ,245 
,North Jeolla Jeonju-si,Female,"10,161 ",221 ,"1,370 ",440 ,"5,107 ","2,788 ",0 ,235 
,North Jeolla Gunsan-si,Total,"9,395 ",616 ,"1,302 ",899 ,"4,710 ","1,752 ",0 ,116 
,North Jeolla Gunsan-si,Male,"4,851 ",319 ,714 ,468 ,"2,377 ",915 ,0 ,58 
,North Jeolla Gunsan-si,Female,"4,544 ",297 ,588 ,431 ,"2,333 ",837 ,0 ,58 
,North Jeolla Iksan-si,Total,"8,467 ",558 ,"1,122 ",862 ,"4,096 ","1,708 ",0 ,121 
,North Jeolla Iksan-si,Male,"4,414 ",300 ,605 ,447 ,"2,110 ",894 ,0 ,58 
,North Jeolla Iksan-si,Female,"4,053 ",258 ,517 ,415 ,"1,986 ",814 ,0 ,63 
,North Jeolla Jeongeup-si,Total,"3,006 ",271 ,812 ,223 ,"1,334 ",338 ,0 ,28 
