,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,South Gyeongsang Uiryeong-gun,Total,241,122,0,77,42,0,0,0
,South Gyeongsang Uiryeong-gun,Male,109,43,0,38,28,0,0,0
,South Gyeongsang Uiryeong-gun,Female,132,79,0,39,14,0,0,0
,South Gyeongsang Haman-gun,Total,"1,076",304,169,16,361,157,0,69
,South Gyeongsang Haman-gun,Male,543,141,97,10,183,76,0,36
,South Gyeongsang Haman-gun,Female,533,163,72,6,178,81,0,33
,South Gyeongsang Changnyeong-gun,Total,945,293,173,74,376,0,0,29
,South Gyeongsang Changnyeong-gun,Male,503,158,96,41,194,0,0,14
,South Gyeongsang Changnyeong-gun,Female,442,135,77,33,182,0,0,15
,South Gyeongsang Goseong-gun,Total,799,190,87,113,390,19,0,0
,South Gyeongsang Goseong-gun,Male,412,99,48,57,204,4,0,0
,South Gyeongsang Goseong-gun,Female,387,91,39,56,186,15,0,0
,South Gyeongsang Namhae-gun,Total,477,145,0,201,131,0,0,0
,South Gyeongsang Namhae-gun,Male,245,78,0,99,68,0,0,0
,South Gyeongsang Namhae-gun,Female,232,67,0,102,63,0,0,0
,South Gyeongsang Hadong-gun,Total,553,202,62,111,167,0,0,11
,South Gyeongsang Hadong-gun,Male,265,98,22,59,79,0,0,7
,South Gyeongsang Hadong-gun,Female,288,104,40,52,88,0,0,4
,South Gyeongsang Sancheong-gun,Total,340,249,0,51,40,0,0,0
,South Gyeongsang Sancheong-gun,Male,166,118,0,26,22,0,0,0
,South Gyeongsang Sancheong-gun,Female,174,131,0,25,18,0,0,0
,South Gyeongsang Hamgyang-gun,Total,437,260,162,0,0,15,0,0
,South Gyeongsang Hamgyang-gun,Male,209,131,70,0,0,8,0,0
,South Gyeongsang Hamgyang-gun,Female,228,129,92,0,0,7,0,0
,South Gyeongsang Geochang-gun,Total,"1,149",240,0,61,751,97,0,0
,South Gyeongsang Geochang-gun,Male,579,129,0,24,376,50,0,0
,South Gyeongsang Geochang-gun,Female,570,111,0,37,375,47,0,0
,South Gyeongsang Hapcheon-gun,Total,393,168,37,91,57,40,0,0
,South Gyeongsang Hapcheon-gun,Male,203,102,22,43,22,14,0,0
,South Gyeongsang Hapcheon-gun,Female,190,66,15,48,35,26,0,0
Jeju,Jeju Total,Total,"22,451","2,193","5,720","2,381","9,492","1,642",0,"1,023"
,Jeju Total,Male,"11,641","1,138","2,995","1,248","4,897",867,0,496
,Jeju Total,Female,"10,810","1,055","2,725","1,133","4,595",775,0,527
,Jeju Jeju-si,Total,"16,780","1,159","3,733","1,533","8,054","1,416",0,885
,Jeju Jeju-si,Male,"8,691",596,"1,973",802,"4,148",747,0,425
,Jeju Jeju-si,Female,"8,089",563,"1,760",731,"3,906",669,0,460
,Jeju Seogwipo-si,Total,"5,671","1,034","1,987",848,"1,438",226,0,138
,Jeju Seogwipo-si,Male,"2,950",542,"1,022",446,749,120,0,71
,Jeju Seogwipo-si,Female,"2,721",492,965,402,689,106,0,67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
